製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 13:00:56,10/19 13:00:56,10/19 13:00:56,
サンプリング周波数,200,200,200,
シーケンス数,6579,6579,6579,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00093549,0.01048738,-0.09012747,
3,-0.00352041,-0.01814366,0.06051169,
4,-0.00598224,0.00896105,0.00600686,
5,0.00536678,-0.00950265,0.00773013,
6,0.00901028,-0.02678467,-0.01004425,
7,0.01026582,-0.0295173,-0.00354503,
8,-0.00728701,0.00300343,-0.01777439,
9,0.0079517,0.0025603,-0.00460362,
10,0.01457401,-0.00950265,0.01127517,
11,0.00231412,-0.03402244,-0.01484481,
12,0.00231412,0.0079517,0.0017479,
13,-0.00280648,-0.0031019,-0.00974883,
14,-0.00425896,0.00509598,-0.00096011,
15,-0.00214179,-0.0130723,0.00051698,
16,-0.01004425,0.0203593,-0.10054099,
17,-0.00002462,-0.01578031,0.05812372,
18,0.00558835,0.01248146,-0.03131443,
19,0.00608071,-0.02673544,0.00302805,
20,-0.00519445,-0.0146971,-0.00829636,
21,0.00925647,-0.02136865,-0.00445591,
22,0.02161484,0.00524369,-0.00854254,
23,-0.01262917,0.02705547,0.01706046,
24,-0.01233375,-0.00452976,0.016445,
25,0.00002462,-0.06048708,-0.01910377,
26,0.00425896,-0.02872951,-0.01437707,
27,0.00827174,-0.01706046,-0.00743472,
28,-0.00137862,0.01063509,0.00452976,
29,0.00177252,0.00187099,-0.0394877,
30,0.00864101,0.03402244,0.07821223,
31,0.00494827,-0.01260455,-0.01351543,
32,0.0159034,-0.00118168,0.00064007,
33,-0.00905952,-0.05704052,-0.00918261,
34,-0.01198909,-0.01122593,-0.00955189,
35,0.00384045,0.00556373,-0.02176255,
36,-0.00544064,-0.00194484,0.02284575,
37,-0.00288034,0.01499252,-0.01878374,
38,-0.00118168,-0.07136835,-0.00440667,
39,0.00770552,0.02033469,-0.01688813,
40,0.00669617,-0.01742973,-0.00411125,
41,0.01090589,0.02021159,-0.1202356,
42,-0.01570645,-0.00883796,0.08613931,
43,-0.01435245,0.01272764,-0.00224026,
44,0.00679464,-0.00859177,-0.00605609,
45,0.00573606,-0.0403001,-0.00888719,
46,0.00315114,-0.02021159,-0.00982269,
47,0.00014771,-0.02456903,-0.00248644,
48,0.01570645,-0.01122593,0.00334808,
49,-0.00780399,0.02902493,-0.01041353,
50,-0.00871487,0.00219103,0.01312153,
51,0.01314615,-0.02872951,-0.00928109,
52,0.01016734,-0.01179215,0.00425896,
53,0.00955189,-0.01147211,-0.00452976,
54,-0.01430321,-0.00654846,-0.0148202,
55,-0.00450514,-0.0022895,0.00273263,
56,-0.00568682,0.04224494,0.01595264,
57,0.03104363,-0.01565722,0.00041851,
58,0.00051698,-0.00979807,0.0277694,
59,-0.0094288,-0.06578,-0.00945341,
60,-0.004579,0.05322469,-0.00753319,
61,0.00273263,-0.04034934,-0.00721315,
62,-0.00157557,-0.0456915,0.02328888,
63,0.00019695,-0.04857184,-0.02944344,
64,0.00408663,-0.01634653,-0.00231412,
65,-0.0090349,0.01740511,0.00300343,
66,0.00955189,-0.04066937,-0.00499751,
67,0.00952727,-0.02144251,0.00519445,
68,0.00177252,0.02703085,-0.02033469,
69,0.01203833,0.01189062,0.00644999,
70,-0.01001963,-0.02747398,-0.00105859,
71,0.00327423,0.00526831,0.00041851,
72,-0.00022156,0.00029542,-0.12902432,
73,-0.00019695,-0.02678467,0.06033937,
74,0.02700624,0.0203593,0.00743472,
75,0.01654347,0.00524369,0.00706544,
76,-0.02540605,0.00913338,-0.01949767,
77,-0.01902992,-0.02712933,-0.00128015,
78,0.00669617,-0.02725242,-0.01184139,
79,-0.00711468,-0.02513525,0.01521409,
80,-0.00844406,0.00435743,-0.0257507,
81,-0.00105859,0.00782861,-0.01966999,
82,0.0053914,0.00305266,-0.00585915,
83,0.00022156,0.00548987,0.00805017,
84,-0.00536678,-0.0280402,-0.01902992,
85,0.00428358,0.03505641,0.00152633,
86,0.02112247,-0.06198879,0.0020187,
87,-0.01125055,0.00137862,-0.01418012,
88,-0.0094288,0.00509598,-0.01976847,
89,-0.00563758,0.01435245,-0.04126021,
90,0.00871487,0.04746401,0.05167374,
91,0.01770053,-0.02087629,-0.00152633,
92,0.00408663,-0.04606077,-0.00231412,
93,-0.00046775,0.03367779,-0.00342194,
94,-0.010512,-0.06925118,0.00979807,
95,-0.00428358,-0.0246675,0.00145248,
96,0.00807479,0.01494329,-0.01326924,
97,0.02491368,-0.00017233,-0.01309692,
98,-0.0020187,-0.0048498,0.00962574,
99,-0.00014771,-0.00753319,-0.00630228,
100,-0.00558835,-0.04662699,-0.00278186,
101,-0.00388969,0.00706544,-0.00792708,
102,0.00893643,0.01006887,-0.01730664,
103,0.00704082,0.04830103,-0.12902432,
104,0.02163945,0.01166906,0.06398287,
105,-0.00649922,-0.04618386,-0.00411125,
106,-0.01755282,-0.03104363,0.02442132,
107,-0.01386008,-0.02208258,-0.00814865,
108,-0.004579,0.0179221,0.01260455,
109,0.00039389,0.01196448,0.00642537,
110,0.01770053,-0.0338255,-0.00317576,
111,0.00263415,-0.02604612,-0.00145248,
112,0.00401278,0.00275725,-0.01811904,
113,0.00083702,0.03165909,-0.05509568,
114,0.00236335,0.04943347,0.0529785,
115,0.01787286,-0.07456872,-0.01528794,
116,0.00206793,-0.03677969,-0.0025603,
117,0.0125307,-0.00088626,-0.00349579,
118,-0.0181929,0.04167872,-0.01826675,
119,-0.01065971,-0.0349087,0.00809941,
120,0.00435743,-0.00342194,-0.02900032,
121,0.00979807,-0.00152633,0.01174291,
122,0.02198411,-0.00755781,-0.02469212,
123,-0.00448052,-0.00260954,0.00709006,
124,-0.00416049,-0.03062512,0.00349579,
125,0.00194484,0.05352011,0.0230427,
126,-0.00544064,-0.0110536,-0.00733624,
127,0.00507136,0.01853755,0.02518448,
128,-0.00300343,-0.03611499,0.00805017,
129,0.00448052,-0.01191524,0.00248644,
130,-0.00263415,0.02107323,-0.01102898,
