製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:41:13,10/19 12:41:13,10/19 12:41:13,
サンプリング周波数,200,200,200,
シーケンス数,6518,6518,6518,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00334808,-0.0144263,-0.02550452,
3,0.01233375,-0.08695171,-0.00088626,
4,0.04918729,0.01208757,0.00519445,
5,-0.04428826,-0.05187068,-0.00408663,
6,0.0020187,0.00433281,-0.00829636,
7,-0.04362356,0.03500717,-0.0064746,
8,0.04507604,-0.01410627,0.00009847,
9,0.04719321,-0.02986195,-0.00192022,
10,-0.00224026,-0.01991618,-0.00526831,
11,-0.00352041,-0.00324961,-0.00317576,
12,-0.01043814,0.0238551,-0.00155095,
13,-0.00113244,-0.02415052,-0.0040374,
14,0.01979308,-0.00273263,-0.00349579,
15,-0.01270302,-0.0062038,-0.00273263,
16,-0.0148202,0.01533718,-0.00460362,
17,0.01905454,-0.03943846,0.0031019,
18,0.01826675,0.03229916,-0.0068685,
19,0.03247149,-0.02528296,-0.00588377,
20,-0.06996511,-0.03596728,-0.01031505,
21,0.00733624,0.02922188,-0.00076317,
22,0.02939421,0.00068931,-0.00371736,
23,-0.03783827,-0.01861141,0.0017479,
24,-0.0082225,0.03613961,0.00416049,
25,0.0280402,-0.04438673,0.00263415,
26,0.01383546,-0.03929075,-0.01560798,
27,0.02789249,-0.00736086,-0.00278186,
28,-0.01346619,0.01888221,0.00605609,
29,-0.04438673,-0.00728701,0.00014771,
30,0.00834559,-0.00243721,0.00199408,
31,0.00514522,-0.02279651,0.00083702,
32,0.01806981,-0.02577532,-0.00625304,
33,0.00152633,0.04857184,-0.00315114,
34,0.01265379,-0.05130446,-0.00507136,
35,0.01999003,0.02131942,-0.00096011,
36,-0.03601652,-0.04293425,-0.00167404,
37,-0.00305266,-0.02685853,-0.00760704,
38,-0.01666656,-0.00869025,-0.01041353,
39,0.04859645,-0.00925647,0.00558835,
40,-0.02838486,0.01228451,0.00078778,
41,-0.01152135,-0.00445591,0.00396354,
42,0.04359895,0.00846868,-0.00723777,
43,0.01386008,-0.01437707,-0.01068433,
44,0.05480026,-0.04399284,-0.00667155,
45,-0.0562035,0.02417514,0.00361888,
46,0.05684357,-0.02033469,0.01085665,
47,0.03552416,-0.00007385,-0.00551449,
48,-0.0583699,0.00268339,0.00428358,
49,-0.01001963,0.02927112,0.00844406,
50,-0.00644999,-0.02530758,0.01287535,
51,0.02232877,-0.06088097,-0.01597725,
52,0.06026551,-0.01462325,-0.00019695,
53,-0.031536,-0.00290496,-0.00091088,
54,0.01666656,-0.01001963,-0.00354503,
55,0.00585915,0.04337738,-0.00071393,
56,-0.01198909,-0.00423434,-0.01085665,
57,0.03412091,-0.09130914,-0.00649922,
58,-0.02284575,0.01100436,0.00226488,
59,-0.01196448,0.01915301,-0.00524369,
60,0.03252073,0.02836024,-0.00162481,
61,-0.01804519,-0.01277688,-0.00681926,
62,0.01782362,-0.00177252,0.00315114,
63,-0.00487442,0.02570147,0.00214179,
64,-0.00933032,-0.07806452,-0.00563758,
65,-0.05467717,-0.0107828,-0.00315114,
66,-0.0005416,-0.00334808,-0.00334808,
67,0.07284544,0.05123061,-0.01880835,
68,-0.01573107,0.00866563,-0.00157557,
69,0.01063509,-0.01511561,-0.00568682,
70,0.00731162,0.0393646,-0.00777937,
71,-0.00827174,-0.07464258,-0.0095765,
72,-0.01270302,-0.03096978,0.00132939,
73,-0.00017233,-0.03289,-0.00231412,
74,-0.01122593,-0.01176753,-0.00386507,
75,0.00782861,0.00743472,0.00068931,
76,-0.00711468,-0.01238299,0.00797632,
77,0.00324961,-0.01691275,-0.00595762,
78,0.00780399,-0.00263415,-0.00137862,
79,0.0477102,0.00854254,-0.00236335,
80,0.05763136,-0.0096996,0.00460362,
81,-0.11179154,-0.03702587,-0.00716391,
82,0.02063011,0.00733624,-0.01272764,
83,0.0017479,0.07026053,0.00093549,
84,0.04288502,0.0187345,-0.00576067,
85,0.02195949,-0.01248146,0.00462823,
86,-0.02390433,-0.06541073,-0.00765628,
87,-0.04039857,-0.04512528,-0.00731162,
88,0.03830602,-0.02848333,-0.00130477,
89,-0.02146713,-0.0090349,-0.00622842,
90,-0.02801558,0.00152633,-0.01048738,
91,0.01701122,0.03916766,-0.00115706,
92,0.02877875,-0.01806981,-0.01176753,
93,0.00076317,-0.02821253,0.00797632,
94,0.04020163,-0.03190527,-0.00187099,
95,-0.04470677,0.01853755,0.00805017,
96,-0.03109287,0.0277694,0.01100436,
97,-0.0204824,-0.06223497,-0.0076809,
98,-0.01085665,-0.03417015,-0.00901028,
99,0.04224494,0.04519913,-0.00765628,
100,0.0448791,-0.06024089,-0.00962574,
101,0.00280648,-0.00007385,0.0033727,
102,0.0181929,-0.02230415,-0.0020187,
103,-0.02213182,0.0320776,-0.0064746,
104,-0.01326924,0.00130477,0.00152633,
105,-0.04684856,0.02464288,0.00487442,
106,-0.00482518,0.0261446,-0.00278186,
107,0.07301777,-0.0811418,-0.00130477,
108,-0.04096479,0.02127018,-0.01275226,
