製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 13:05:11,10/19 13:05:11,10/19 13:05:11,
サンプリング周波数,200,200,200,
シーケンス数,6479,6479,6479,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.0051206,0.02550452,-0.00125553,
3,-0.01085665,0.00534216,-0.01693737,
4,-0.01861141,-0.00017233,-0.01097975,
5,-0.00571144,-0.05807449,-0.00211717,
6,0.01405703,-0.01949767,-0.00009847,
7,0.00723777,0.022378,-0.00807479,
8,0.02405204,-0.01681427,-0.01413088,
9,-0.0280402,-0.04047243,-0.00477594,
10,-0.0133431,-0.00088626,0.00622842,
11,0.0020187,0.03082207,0.0022895,
12,-0.01336772,-0.03365317,0.00064007,
13,0.01777439,0.00379121,-0.00162481,
14,-0.00059084,-0.01036429,0.00105859,
15,0.01959614,-0.02208258,-0.01511561,
16,0.01447554,0.01915301,-0.00507136,
17,0.03998006,0.01925148,-0.0087641,
18,0.0187345,-0.03946308,0.00179713,
19,-0.0385522,-0.00039389,0.00162481,
20,-0.00721315,-0.0094288,-0.00083702,
21,0.0025603,-0.0176513,-0.00448052,
22,0.00654846,-0.01088127,0.00132939,
23,0.01285073,0.00908414,-0.00352041,
24,0.00019695,0.0040374,0.00396354,
25,0.02284575,-0.01930072,-0.0082225,
26,-0.01282612,0.02764631,-0.0051206,
27,-0.01910377,-0.01962076,-0.00354503,
28,0.0146971,-0.01939919,-0.00096011,
29,0.02968963,0.00164942,-0.0048498,
30,-0.01654347,-0.01420474,0.00051698,
31,0.01541103,-0.01314615,-0.00236335,
32,-0.01233375,0.0005416,-0.00199408,
33,0.02107323,0.01531256,-0.00681926,
34,-0.01026582,0.02279651,-0.00056622,
35,-0.02555376,0.03404706,-0.00817326,
36,0.03018199,-0.06235806,-0.00152633,
37,0.00728701,-0.02282113,-0.00251106,
38,-0.00051698,-0.02483983,0.00179713,
39,-0.00113244,-0.01201371,0.00817326,
40,-0.01250608,0.01499252,-0.00780399,
41,0.00841945,-0.01553412,-0.00317576,
42,0.00487442,-0.01386008,-0.00448052,
43,0.00243721,0.0125307,0.00032004,
44,-0.01358928,0.02909879,-0.0064746,
45,0.01125055,-0.06137333,-0.00706544,
46,-0.00285572,-0.05696666,-0.00115706,
47,0.00987192,0.00561296,-0.00871487,
48,0.00236335,-0.01331848,0.00472671,
49,-0.00637613,-0.015091,-0.00019695,
50,0.00068931,0.01043814,0.00034466,
51,0.00854254,-0.01656809,-0.01102898,
52,0.00632689,-0.01437707,-0.00846868,
53,0.0067454,0.00002462,-0.01346619,
54,-0.00460362,0.01996541,0.00278186,
55,0.03835526,-0.01703584,0.00366812,
56,0.00819788,-0.02651387,-0.00625304,
57,0.00568682,-0.00777937,-0.00502213,
58,0.00526831,0.01314615,-0.0095765,
59,-0.02602151,0.07351014,0.0033727,
60,-0.01718355,-0.02309193,-0.00211717,
61,0.01742973,-0.05056591,-0.00093549,
62,-0.00278186,0.00083702,-0.00425896,
63,-0.005933,-0.00706544,-0.00709006,
64,0.01733126,-0.02333811,0.00120629,
65,-0.01137364,0.0040374,-0.00499751,
66,0.04753787,-0.02727704,-0.01336772,
67,0.01740511,0.03124058,-0.00315114,
68,-0.03232378,-0.00401278,0.00238797,
69,-0.01063509,-0.03025585,-0.0068685,
70,0.00169866,-0.02528296,-0.00669617,
71,0.0153618,-0.02368277,-0.00617918,
72,0.01344157,-0.0010832,-0.00388969,
73,-0.00140324,-0.01110284,-0.0064746,
74,-0.00610533,-0.00617918,0.00384045,
75,0.00083702,-0.00280648,-0.00588377,
76,0.00888719,0.01147211,-0.00706544,
77,0.01866064,-0.00339732,-0.00834559,
78,-0.00571144,-0.01302306,0.00482518,
79,-0.00260954,0.03862606,-0.00046775,
80,0.02235338,0.02417514,-0.00179713,
81,-0.01127517,-0.0172574,-0.01048738,
82,0.00731162,-0.04389437,0.00612995,
83,0.00408663,0.01216142,0.00096011,
84,-0.00379121,0.00425896,-0.00411125,
85,-0.00002462,-0.04177719,-0.00132939,
86,-0.00288034,-0.00992116,-0.00199408,
87,0.00273263,0.0203593,-0.00908414,
88,-0.00302805,0.01319539,0.00514522,
89,0.00379121,0.05644968,-0.00563758,
90,-0.01294921,-0.0601178,-0.0053914,
91,0.02159022,-0.0621365,-0.00866563,
92,0.0179221,-0.01922686,-0.01319539,
93,-0.00696697,-0.00416049,-0.00452976,
94,-0.02740013,-0.00438205,0.00361888,
95,0.01523871,-0.01491867,0.00017233,
96,-0.01757744,0.0008124,0.00100935,
97,0.00251106,-0.0067454,0.00241259,
98,0.00524369,0.00534216,-0.00704082,
99,-0.01398317,0.00076317,-0.00489903,
100,0.00642537,0.02900032,-0.00728701,
101,0.00472671,0.01127517,-0.00241259,
102,0.02023621,-0.04032472,-0.0096996,
103,0.00248644,0.0031019,-0.00536678,
104,-0.02875413,0.00130477,0.00155095,
105,-0.00029542,0.02503677,-0.00236335,
106,-0.00681926,-0.00760704,0.00635151,
107,0.02875413,-0.0204824,-0.0040374,
108,0.02895108,0.02336273,-0.01129978,
109,-0.01622344,-0.03500717,-0.00204332,
110,0.00448052,-0.01939919,-0.01285073,
111,-0.01149673,-0.01322001,-0.00494827,
112,0.00317576,-0.01068433,-0.0107828,
113,-0.00120629,-0.00807479,-0.00157557,
114,-0.00982269,0.01459863,0.00637613,
115,0.00994578,-0.0053914,-0.0039143,
116,0.00770552,-0.01856217,-0.00078778,
117,0.0082225,0.01363852,-0.00878872,
118,-0.0010832,-0.00046775,-0.00694235,
119,-0.02639078,0.01706046,0.00206793,
120,-0.01152135,0.06393363,-0.00068931,
121,0.00834559,-0.00859177,-0.00059084,
122,-0.01558336,-0.06676473,0.0008124,
123,0.01688813,-0.05790216,-0.00487442,
124,0.00150171,-0.02230415,-0.00278186,
125,-0.00300343,0.00878872,-0.00359427,
126,0.00982269,0.00896105,-0.00066469,
127,0.04502681,-0.0513537,0.00051698,
128,-0.00965036,-0.00489903,-0.00416049,
129,-0.01029043,-0.01546027,-0.0022895,
130,-0.00999502,0.01989156,-0.00573606,
131,-0.03301309,-0.00758243,-0.0093057,
132,0.01767591,0.00243721,-0.00177252,
133,-0.00263415,0.04928577,-0.00189561,
134,0.00773013,-0.03956155,-0.01245684,
135,0.03695201,-0.004579,-0.00605609,
136,0.01238299,0.0172574,0.00544064,
137,-0.01228451,-0.04810409,0.00347118,
138,-0.00598224,-0.02715395,-0.00470209,
139,0.00243721,-0.00925647,-0.00219103,
140,0.00268339,-0.00167404,-0.0062038,
141,0.01275226,0.01774977,0.00920723,
142,0.02065472,-0.00120629,-0.00051698,
143,0.00635151,-0.02107323,-0.00224026,
144,0.00056622,-0.00605609,-0.00263415,
145,-0.01235837,0.00536678,-0.00322499,
146,-0.00548987,0.01265379,-0.00696697,
147,-0.00748395,-0.04108788,-0.00017233,
148,-0.00839483,-0.00866563,-0.00644999,
149,0.02245186,0.00408663,-0.00610533,
150,-0.01868526,0.02845871,-0.00790246,
151,-0.00585915,-0.01260455,0.00659769,
152,0.00411125,0.00068931,-0.0031019,
153,0.00192022,0.00507136,-0.00694235,
154,-0.0033727,-0.01299844,-0.00440667,
155,0.00420972,-0.02444594,0.00157557,
156,0.00659769,0.01270302,-0.00300343,
157,0.00888719,-0.01553412,-0.00435743,
158,0.01824213,0.00041851,-0.00297881,
159,-0.01755282,0.00113244,0.00649922,
160,0.00290496,-0.01065971,-0.00440667,
161,0.01085665,-0.00994578,-0.00224026,
162,0.04453444,-0.01853755,-0.00770552,
163,-0.00521907,-0.00192022,-0.00681926,
164,-0.01339234,-0.0218364,0.00297881,
165,-0.01139826,-0.00679464,-0.00544064,
166,0.0051206,0.00169866,-0.00915799,
167,-0.00150171,-0.01053662,0.00546525,
168,0.00605609,0.02786788,0.00169866,
169,0.00423434,-0.00241259,0.00014771,
170,0.0179221,-0.02661234,-0.00482518,
171,-0.01063509,-0.00758243,0.00039389,
172,-0.01125055,0.00637613,-0.00802555,
173,0.00361888,0.00273263,-0.00324961,
174,0.00982269,0.01523871,-0.01211219,
175,0.01824213,-0.03165909,-0.00386507,
176,0.00315114,-0.03604114,-0.0094288,
177,-0.02902493,-0.01437707,-0.00514522,
178,-0.02663696,0.00925647,-0.00733624,
179,-0.00017233,0.01861141,0.00022156,
180,0.00716391,-0.00044313,-0.00349579,
181,0.00420972,-0.00118168,-0.00499751,
182,0.00583453,-0.02816329,-0.00534216,
183,0.00745933,-0.01666656,-0.00502213,
184,-0.00913338,0.0002708,0.00524369,
185,-0.00745933,-0.0074101,0.00349579,
186,0.02447055,0.01691275,0.00263415,
187,0.00044313,0.00179713,-0.00580991,
188,0.02013774,0.00462823,-0.01036429,
189,0.01767591,-0.05484949,-0.00438205,
190,-0.03389935,-0.00888719,0.00731162,
191,0.00260954,0.03808445,0.00224026,
192,-0.00157557,-0.00679464,-0.00231412,
193,0.00216641,-0.04350047,-0.00329885,
194,-0.02616921,-0.01223528,-0.00460362,
195,0.01294921,-0.02624307,-0.00556373,
196,0.00940418,0.0033727,-0.0068685,
197,0.00329885,-0.00832097,-0.00536678,
198,0.01038891,-0.01715893,0.00017233,
199,0.01228451,-0.0005416,0.00637613,
200,0.00120629,0.00736086,-0.00470209,
201,0.0048498,0.01381085,-0.00379121,
202,0.02717856,-0.02218106,-0.00329885,
203,0.00093549,-0.00445591,-0.01147211,
204,0.00019695,-0.01467249,-0.01272764,
205,-0.00189561,0.00342194,-0.0146971,
206,-0.01912839,0.02469212,-0.00334808,
207,-0.00755781,0.01986694,-0.00145248,
208,0.01863603,-0.04667623,0.00226488,
