製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:44:36,10/19 12:44:36,10/19 12:44:36,
サンプリング周波数,200,200,200,
シーケンス数,6454,6454,6454,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.02072858,-0.01376161,0.12909818,
3,0.01610034,0.05123061,-0.01430321,
4,0.01664195,-0.06656779,0.00265877,
5,-0.03092054,-0.05263385,-0.0121368,
6,-0.03148676,-0.01799595,-0.00706544,
7,-0.00856716,-0.04773481,0.00216641,
8,0.00743472,0.02730166,0.03404706,
9,0.00339732,0.01518947,0.02316579,
10,0.03498255,0.01898068,-0.16412997,
11,-0.00507136,-0.09249082,0.05049206,
12,-0.01543565,-0.13495732,-0.02619383,
13,0.04497757,0.10078717,-0.0020187,
14,-0.01386008,-0.05374167,-0.01733126,
15,0.00913338,0.07732597,0.01605111,
16,0.06802026,-0.08392366,-0.02725242,
17,-0.03609038,0.01445092,0.02023621,
18,-0.04180181,0.0020187,-0.00187099,
19,0.02284575,0.00691773,-0.02343659,
20,-0.00068931,-0.0231904,0.01344157,
21,-0.031536,-0.01875912,-0.00297881,
22,0.10686789,0.01634653,-0.01041353,
23,-0.00856716,0.0475871,-0.00568682,
24,-0.01349081,-0.03820755,-0.10482457,
25,-0.02235338,-0.04793176,0.07821223,
26,-0.02193487,-0.04190029,0.05740979,
27,-0.00059084,-0.02026083,-0.01322001,
28,0.03842911,-0.07690746,-0.01799595,
29,0.01201371,0.08660705,0.00745933,
30,-0.06802026,-0.04736554,-0.01262917,
31,0.01528794,-0.07378094,-0.00497289,
32,-0.01691275,-0.02077782,-0.02360892,
33,-0.00115706,-0.0149679,-0.00388969,
34,0.00829636,0.01233375,0.00696697,
35,0.01174291,-0.02279651,-0.05339702,
36,0.00142786,0.00684388,0.02434746,
37,0.00878872,-0.02784326,0.02171331,
38,0.02171331,0.06090559,0.0221072,
39,0.02976348,-0.00699159,-0.05159988,
40,0.06590309,0.0626781,0.01521409,
41,-0.00115706,-0.16196356,-0.00642537,
42,0.0033727,0.01393394,-0.01080742,
43,-0.04918729,-0.02383048,-0.07848303,
44,-0.04226956,-0.02762169,0.05689281,
45,-0.02353506,0.0095765,-0.03929075,
46,0.03050203,0.06095482,0.00883796,
47,0.01413088,-0.03872453,0.01543565,
48,-0.01627267,-0.01191524,0.00206793,
49,-0.00669617,0.09357402,0.00608071,
50,-0.01090589,-0.03259458,0.01176753,
51,-0.00896105,0.00433281,0.01856217,
52,0.0215656,0.08540076,-0.04670085,
53,0.01952228,-0.04273731,0.01806981,
54,0.02648925,-0.03968464,-0.00194484,
55,0.01073356,-0.03173294,-0.04081708,
56,-0.02060549,-0.03217607,-0.021024,
57,0.02434746,-0.01319539,-0.01930072,
58,0.02579994,0.0300589,-0.00145248,
59,0.03404706,0.04354971,0.01592802,
60,-0.05977315,-0.04931038,0.00635151,
61,0.04007853,-0.04803023,-0.00937956,
62,0.01457401,0.01659271,-0.00832097,
63,-0.02737551,0.01383546,-0.00118168,
64,-0.05388938,0.03362855,0.00396354,
65,0.01799595,-0.00265877,-0.0806002,
66,0.00497289,-0.02496292,0.04027548,
67,-0.01811904,-0.064426,0.02703085,
68,-0.00950265,0.09409101,-0.01075818,
69,0.00105859,-0.0885519,-0.00238797,
70,0.00041851,-0.12242663,0.01245684,
71,0.00644999,0.0465039,0.00974883,
72,0.01093051,-0.01075818,-0.03023123,
73,-0.00268339,-0.00524369,-0.04803023,
74,0.00435743,-0.02353506,-0.16649332,
75,0.01184139,0.03136367,0.13000905,
76,0.01450016,0.04711936,0.00654846,
77,0.00802555,-0.03301309,-0.00411125,
78,0.0932786,0.07801528,-0.01898068,
79,0.05140294,-0.06740481,0.00642537,
80,-0.06742943,-0.04069399,0.00551449,
81,-0.0218364,0.08983205,-0.00438205,
82,-0.03168371,-0.01728202,0.00150171,
83,-0.03943846,-0.10539079,-0.01693737,
84,-0.01065971,-0.08754255,0.00142786,
85,-0.00952727,0.00216641,0.00413587,
86,0.00292957,0.01681427,0.00411125,
87,0.04672547,-0.06225959,-0.00078778,
88,-0.04194952,-0.01026582,0.00004924,
89,-0.00622842,0.03771518,-0.07328857,
90,0.00760704,0.00236335,0.05029511,
91,0.00044313,-0.04783329,-0.00044313,
92,0.02710471,-0.00096011,0.04180181,
93,0.0146971,-0.01678966,-0.0215656,
94,0.02550452,0.0167158,-0.04630696,
95,0.03857682,0.0990639,0.00573606,
96,0.0190053,-0.02023621,0.01257993,
97,-0.03621347,0.01573107,-0.00071393,
98,0.02417514,-0.02698162,-0.00413587,
99,0.04790714,0.01085665,-0.00164942,
100,-0.01966999,-0.03906919,-0.01014272,
101,-0.06811874,-0.0632197,-0.00952727,
102,-0.02483983,0.05371705,0.00347118,
103,-0.00499751,0.01934996,-0.17407575,
104,0.01878374,-0.02045778,0.0655092,
105,0.01454939,-0.12897509,-0.01413088,
106,-0.05718823,0.17727612,0.01208757,
107,-0.00120629,-0.13261859,-0.00103397,
108,-0.00226488,-0.02725242,0.01373699,
109,0.00777937,0.00659769,0.00300343,
110,0.02378124,-0.04606077,-0.10649861,
111,0.01582954,0.04010315,0.07900001,
112,-0.01708508,-0.01430321,0.00580991,
113,0.02383048,-0.06974354,-0.03968464,
114,-0.00068931,0.02360892,-0.01676504,
115,0.00041851,-0.01277688,0.01001963,
116,0.02269804,-0.03444095,-0.01112746,
117,0.06797103,-0.00507136,-0.00268339,
118,0.0672571,0.00263415,0.00132939,
119,-0.0757504,-0.02471674,-0.00408663,
120,-0.01669118,0.07296854,0.05221534,
121,-0.07284544,-0.02168869,0.01659271,
122,-0.0149679,-0.0505413,-0.00189561,
123,-0.00760704,-0.04034934,-0.01117669,
124,-0.00679464,-0.00999502,-0.02223029,
125,-0.00743472,-0.03096978,0.01093051,
126,-0.00706544,0.00785323,0.01614958,
127,0.00022156,-0.01154597,-0.01235837,
128,0.00519445,0.00374198,0.04342662,
129,0.00275725,0.04510066,-0.00585915,
130,0.01093051,-0.00214179,0.12483922,
131,0.04256498,-0.00743472,-0.09234311,
132,0.04273731,0.00494827,0.0053914,
133,0.00521907,0.04643005,-0.02986195,
134,-0.05497258,-0.05558804,-0.00206793,
135,-0.00809941,-0.06878343,0.01479558,
136,0.02026083,0.02294422,-0.03695201,
137,0.02405204,-0.00841945,0.02442132,
138,0.00736086,-0.06747866,0.00366812,
139,0.04549455,0.16270211,-0.02353506,
140,-0.05406171,-0.12331289,-0.00630228,
141,-0.03074821,-0.05041821,-0.01129978,
142,-0.03567186,-0.06986663,-0.00524369,
143,-0.00635151,-0.04736554,0.00120629,
144,0.03645965,0.02877875,0.00379121,
145,-0.00192022,0.00937956,0.07540574,
146,-0.01043814,0.00696697,0.00915799,
147,-0.00915799,-0.00132939,0.01654347,
148,0.01824213,0.00226488,0.01373699,
149,-0.00576067,0.06452447,-0.00214179,
150,0.03178218,0.0051206,-0.01518947,
151,0.02567685,-0.10568621,-0.00064007,
152,-0.02151636,0.03239764,0.00519445,
153,0.00982269,0.02033469,-0.00413587,
154,0.02543067,-0.04391898,0.02678467,
155,-0.01056124,0.02038392,-0.0556619,
156,0.03879838,0.03537645,-0.00625304,
157,0.04118636,0.02230415,-0.01774977,
158,0.0095765,-0.00137862,0.01381085,
159,0.00667155,0.0292465,-0.00452976,
160,0.00805017,-0.05753288,-0.01174291,
161,-0.02599689,-0.09123529,-0.00470209,
162,-0.0039143,-0.0153618,-0.00657308,
163,-0.03700125,-0.0601178,0.00864101,
164,-0.01979308,0.0264154,0.04679932,
165,-0.00177252,-0.0518953,-0.01430321,
166,0.00684388,0.04465753,-0.02754784,
167,-0.00598224,-0.06875881,-0.17666066,
168,0.01198909,-0.00182175,0.16725649,
169,0.02136865,0.00243721,-0.0095765,
170,-0.01499252,-0.00164942,0.00797632,
171,0.01075818,0.06307199,-0.02213182,
172,0.03082207,-0.004579,-0.00059084,
173,-0.00851792,-0.00002462,-0.00625304,
174,-0.02181178,-0.02390433,-0.01435245,
175,0.04391898,-0.01036429,0.00450514,
