製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 13:03:07,10/19 13:03:07,10/19 13:03:07,
サンプリング周波数,200,200,200,
シーケンス数,6409,6409,6409,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.01467249,0.02663696,-0.00745933,
3,-0.00243721,-0.02648925,-0.00580991,
4,0.00694235,0.14938363,-0.0033727,
5,0.04288502,-0.07158991,-0.00187099,
6,-0.02109785,-0.04170334,-0.00231412,
7,-0.01125055,-0.05630197,-0.00462823,
8,-0.01152135,0.00908414,-0.00494827,
9,-0.00177252,-0.02119633,-0.00361888,
10,0.01875912,-0.00243721,-0.00558835,
11,0.01715893,0.00327423,-0.00571144,
12,0.01137364,-0.00448052,0.00236335,
13,-0.02907417,-0.01787286,-0.00494827,
14,-0.01646962,0.00034466,-0.00396354,
15,-0.00864101,0.00238797,-0.00758243,
16,-0.00662231,-0.01777439,-0.00940418,
17,0.00413587,-0.00386507,0.0008124,
18,0.01491867,-0.0051206,-0.00125553,
19,0.01349081,-0.00832097,-0.00029542,
20,-0.00334808,0.00017233,-0.00019695,
21,0.01432783,-0.0040374,-0.00305266,
22,0.00411125,0.0067454,-0.00342194,
23,0.01890683,-0.02225491,-0.00386507,
24,0.05093519,-0.01664195,-0.00002462,
25,-0.02506139,-0.00844406,0.00206793,
26,-0.02619383,0.12643941,0.00352041,
27,-0.0146971,-0.02296884,0.00179713,
28,0.00445591,-0.05947773,-0.00905952,
29,-0.011866,-0.0144263,-0.0017479,
30,0.00096011,-0.04943347,-0.00753319,
31,-0.01031505,-0.01422936,-0.00236335,
32,-0.00260954,-0.01693737,-0.00300343,
33,-0.00059084,-0.0207532,-0.00371736,
34,-0.00083702,-0.01235837,-0.00088626,
35,-0.00128015,-0.004579,-0.00263415,
36,0.00580991,-0.0068685,-0.00918261,
37,0.02656311,-0.00987192,-0.00118168,
38,0.01208757,-0.00509598,-0.00408663,
39,-0.00709006,-0.00524369,-0.00571144,
40,0.00105859,-0.00145248,-0.00354503,
41,0.01418012,0.00374198,0.005933,
42,-0.01866064,-0.00965036,-0.00088626,
43,-0.00536678,-0.00019695,-0.00064007,
44,0.01659271,0.00130477,-0.00925647,
45,0.0096996,0.01518947,0.00260954,
46,-0.00499751,-0.00780399,-0.00622842,
47,-0.01203833,0.01934996,0.00204332,
48,0.0094288,-0.03638579,-0.00896105,
49,-0.01228451,-0.10878811,-0.00366812,
50,-0.00083702,0.06797103,-0.00908414,
51,0.01720817,0.00280648,-0.00236335,
52,0.01491867,0.05507106,-0.005933,
53,0.01425398,-0.06533687,-0.00477594,
54,-0.02417514,0.06723248,-0.00428358,
55,-0.00401278,-0.0300589,-0.00236335,
56,0.00891181,-0.02294422,-0.00177252,
57,0.01432783,-0.00723777,-0.00452976,
58,0.00251106,-0.00854254,-0.00268339,
59,-0.00241259,-0.01971923,-0.00096011,
60,0.01191524,-0.00731162,-0.00278186,
61,0.02011312,-0.00637613,-0.00251106,
62,0.00315114,-0.01356466,-0.00411125,
63,0.00265877,0.00214179,-0.00263415,
64,-0.00681926,-0.00211717,-0.00696697,
65,-0.00667155,-0.00359427,-0.00416049,
66,0.00445591,0.00064007,0.00105859,
67,0.01523871,-0.00814865,0.00032004,
68,-0.00834559,-0.011866,0.00105859,
69,-0.01595264,-0.02589841,-0.00204332,
70,0.00869025,-0.01516485,-0.00905952,
71,0.00905952,-0.00487442,-0.00709006,
72,0.00374198,0.01639576,-0.00440667,
73,-0.01238299,-0.02838486,-0.00275725,
74,-0.01152135,-0.01127517,-0.00502213,
75,0.00721315,-0.04150639,-0.00194484,
76,0.00329885,-0.0146971,-0.00642537,
77,0.00076317,-0.01450016,-0.00681926,
78,0.00760704,-0.01235837,-0.00401278,
79,0.00859177,-0.02070396,-0.00064007,
80,0.0002708,-0.00051698,-0.00844406,
81,-0.00130477,0.01479558,-0.00177252,
82,0.00132939,-0.00728701,-0.00632689,
83,0.00019695,-0.01548489,-0.00214179,
84,0.00979807,-0.02065472,-0.00376659,
85,0.03505641,0.07048209,-0.00871487,
86,-0.02983734,-0.05733594,-0.00194484,
87,-0.00115706,0.00755781,0.00302805,
88,0.00654846,0.00155095,-0.00167404,
89,0.00659769,0.01282612,0.00428358,
90,-0.01516485,0.04436211,-0.00103397,
91,-0.00413587,-0.00401278,-0.01019196,
92,-0.01093051,-0.01090589,0.00066469,
93,-0.00093549,-0.06934965,-0.00118168,
94,0.00952727,0.00531755,-0.00275725,
95,-0.00583453,-0.01479558,-0.00182175,
96,-0.00142786,-0.02779402,0.00007385,
97,0.00649922,-0.01740511,-0.00046775,
98,-0.00612995,-0.01632191,-0.00398816,
99,0.00199408,0.00551449,0.00371736,
100,-0.00248644,-0.00672079,-0.00324961,
101,0.01533718,0.00514522,-0.00078778,
102,0.01400779,-0.00659769,-0.00224026,
103,0.00194484,-0.01770053,-0.00760704,
104,0.02454441,-0.00642537,-0.00573606,
105,0.01474634,-0.02146713,-0.00342194,
106,-0.03417015,-0.02316579,-0.0010832,
107,0.00288034,0.04958118,-0.00002462,
108,-0.01029043,-0.08377595,-0.004579,
109,-0.01368775,0.02680929,-0.0002708,
110,0.00224026,0.03279153,-0.00002462,
111,0.02131942,-0.08724713,-0.00226488,
112,-0.00460362,0.0138847,-0.01142287,
113,0.01122593,-0.00987192,-0.00386507,
114,0.01115207,-0.01112746,-0.00145248,
115,0.01115207,-0.00329885,-0.00460362,
116,-0.01129978,0.00329885,-0.00709006,
117,-0.00568682,-0.0087641,-0.00211717,
118,-0.00723777,-0.00290496,-0.00612995,
119,0.00046775,-0.00654846,-0.00440667,
120,0.01088127,-0.0051206,-0.00280648,
121,0.01065971,-0.00401278,-0.00265877,
122,0.00952727,-0.0093057,-0.00667155,
123,0.01853755,-0.01016734,-0.00819788,
124,-0.00192022,-0.00083702,-0.00376659,
125,0.01866064,-0.00315114,-0.00770552,
126,0.00635151,-0.01607573,-0.00192022,
127,-0.01651886,-0.01356466,-0.00339732,
128,0.01171829,0.02316579,-0.00632689,
129,0.00568682,-0.00076317,0.00177252,
130,-0.01905454,-0.02163945,-0.00502213,
131,-0.00029542,0.02296884,-0.00965036,
132,0.00866563,0.0323484,0.00499751,
133,0.00765628,-0.03830602,-0.00654846,
134,-0.0017479,0.0233135,-0.00536678,
135,0.02065472,-0.01511561,-0.00386507,
136,0.02402743,-0.0338255,-0.00662231,
137,-0.00709006,-0.01541103,0.00128015,
138,-0.0040374,-0.00265877,-0.00718853,
139,0.00731162,-0.02961577,-0.00379121,
140,-0.00388969,-0.01565722,-0.00019695,
141,0.02296884,-0.01275226,-0.00022156,
142,-0.01634653,0.00132939,-0.00807479,
143,0.00019695,0.02488907,-0.00334808,
144,0.00598224,-0.00859177,-0.00832097,
145,0.00780399,0.00487442,0.00128015,
146,0.00071393,0.00585915,0.00297881,
147,0.02232877,0.00617918,-0.00736086,
148,0.00278186,-0.0272278,-0.00465285,
149,-0.00120629,-0.02540605,-0.00558835,
150,0.00588377,-0.00120629,-0.00017233,
151,0.02543067,-0.10846807,-0.00600686,
152,0.02195949,0.06691244,-0.0031019,
153,-0.03586881,-0.03168371,-0.00548987,
154,-0.01053662,-0.04126021,-0.0076809,
155,0.00103397,-0.01386008,-0.00091088,
156,0.0068685,-0.00883796,-0.00273263,
157,0.01627267,-0.00339732,-0.00302805,
158,0.01706046,-0.00379121,-0.00544064,
159,0.00179713,-0.00216641,0.00388969,
160,0.00896105,-0.01016734,-0.00716391,
161,-0.00881334,-0.01309692,-0.0079517,
162,-0.00142786,-0.00792708,-0.00723777,
163,-0.0048498,0.00681926,-0.00856716,
164,0.01582954,-0.00839483,0.00408663,
165,-0.01248146,-0.02134404,-0.00155095,
166,0.00300343,-0.00630228,-0.01127517,
167,0.00120629,-0.01703584,-0.00238797,
168,-0.00032004,-0.00999502,-0.00071393,
169,0.02341197,-0.01248146,0.00460362,
170,-0.01152135,-0.01533718,-0.00544064,
