製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:43:04,10/19 12:43:04,10/19 12:43:04,
サンプリング周波数,200,200,200,
シーケンス数,6428,6428,6428,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00760704,-0.00064007,0.02112247,
3,0.00622842,-0.00896105,-0.00477594,
4,0.00556373,-0.00915799,-0.03266844,
5,0.01836523,-0.00347118,-0.00832097,
6,-0.02139327,0.00305266,0.0394877,
7,-0.00580991,0.00275725,-0.02368277,
8,-0.0138847,-0.00699159,-0.02648925,
9,-0.00630228,-0.02678467,-0.00115706,
10,0.00236335,-0.01922686,0.04559303,
11,0.00120629,-0.00979807,-0.02821253,
12,0.01043814,-0.00497289,-0.04054628,
13,0.00583453,-0.00637613,-0.1029782,
14,0.00494827,-0.00558835,0.05854223,
15,0.00243721,0.02245186,-0.01499252,
16,-0.01504176,-0.03264382,-0.00371736,
17,-0.00248644,-0.00878872,0.00044313,
18,0.00915799,-0.00329885,0.00014771,
19,0.0221072,-0.01093051,-0.00420972,
20,0.01511561,-0.00088626,0.03121596,
21,-0.01166906,-0.00398816,0.00736086,
22,-0.00920723,-0.00888719,-0.0261446,
23,-0.00649922,-0.00736086,0.00022156,
24,0.00236335,-0.01061047,-0.01063509,
25,-0.00445591,-0.01056124,0.01838984,
26,-0.01494329,-0.01139826,-0.02173793,
27,0.00704082,-0.00881334,-0.06329356,
28,0.00472671,-0.00039389,0.09510036,
29,0.00206793,-0.01265379,-0.01004425,
30,0.00588377,-0.00743472,-0.03670583,
31,0.0235843,-0.01528794,-0.01578031,
32,0.03227454,-0.00534216,0.02885261,
33,-0.03170832,-0.00723777,-0.00573606,
34,-0.00278186,0.01632191,-0.02309193,
35,0.00649922,-0.00952727,-0.00288034,
36,0.01196448,-0.04502681,-0.03045279,
37,-0.00029542,0.00064007,-0.00716391,
38,-0.00777937,-0.00004924,0.02860642,
39,0.00733624,-0.00571144,0.00187099,
