製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:58:36,10/19 12:58:36,10/19 12:58:36,
サンプリング周波数,200,200,200,
シーケンス数,6534,6533,6534,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00329885,-0.00965036,-0.00342194,
3,0.00967498,-0.00851792,-0.00366812,
4,-0.00231412,-0.00571144,-0.00494827,
5,0.0022895,-0.00231412,-0.00817326,
6,0.01386008,-0.0068685,-0.0067454,
7,0.0195469,-0.00585915,0.00007385,
8,-0.01558336,-0.00561296,-0.0008124,
9,0.0017479,-0.01223528,0.00157557,
10,0.00231412,-0.01558336,-0.00322499,
11,0.01001963,-0.00475133,-0.01228451,
12,0.00657308,0.00083702,-0.01075818,
13,-0.01405703,-0.00622842,-0.0053914,
14,0.01093051,-0.00893643,-0.00460362,
15,-0.010512,-0.00064007,0.00120629,
16,0.01435245,-0.00445591,-0.00551449,
17,0.005933,-0.00610533,-0.00366812,
18,-0.00583453,-0.00152633,-0.00576067,
19,0.00785323,-0.00029542,-0.00583453,
20,-0.01061047,-0.00524369,-0.0002708,
21,0.00265877,-0.00305266,-0.00204332,
22,0.00290496,-0.00859177,0.00204332,
23,0.00349579,-0.00046775,-0.00706544,
24,0.02483983,-0.01075818,-0.01088127,
25,-0.00760704,-0.01080742,-0.00401278,
26,-0.0121368,-0.00324961,-0.00470209,
27,-0.00280648,-0.00753319,0.00452976,
28,-0.00046775,-0.00733624,-0.01201371,
29,-0.00263415,-0.00548987,-0.00977345,
30,0.00066469,-0.00817326,-0.00681926,
31,0.02058087,-0.00979807,-0.00194484,
32,-0.02491368,-0.00780399,-0.00327423,
33,-0.0107828,-0.00681926,0.00068931,
34,0.00745933,-0.01902992,-0.00105859,
35,0.00379121,-0.00883796,-0.00622842,
36,-0.00322499,-0.00625304,-0.00733624,
37,0.01211219,-0.00965036,-0.00497289,
38,0.00989654,-0.00758243,-0.00785323,
39,0.00546525,-0.00896105,0.00007385,
40,-0.01016734,-0.00014771,-0.0036435,
41,0.00157557,-0.01063509,-0.01001963,
42,0.005933,-0.0181929,-0.00706544,
43,0.00083702,-0.01275226,-0.0067454,
44,-0.01166906,-0.01019196,-0.0025603,
45,0.00224026,-0.00733624,-0.00669617,
46,-0.00497289,-0.00706544,-0.00115706,
47,0.01627267,-0.01014272,-0.00423434,
48,-0.01991618,-0.00046775,-0.01368775,
49,-0.00236335,-0.00224026,0.00032004,
50,0.01546027,-0.01331848,-0.00691773,
51,0.00925647,-0.00324961,-0.00622842,
52,0.02397819,0.00044313,0.00096011,
53,-0.00152633,-0.0176513,-0.00224026,
54,-0.00371736,0.00642537,0.00327423,
55,0.0053914,-0.01019196,-0.00243721,
56,-0.02159022,-0.01171829,-0.01073356,
57,0.01063509,-0.00881334,-0.00691773,
58,0.00066469,-0.00489903,-0.00305266,
59,0.00044313,-0.01122593,0.00056622,
60,-0.00004924,-0.00696697,-0.00076317,
61,0.00347118,-0.00300343,-0.01006887,
62,-0.00078778,0.00324961,0.00096011,
63,-0.00347118,-0.01216142,-0.00920723,
64,0.02095014,-0.00605609,-0.00132939,
65,-0.02481521,-0.01063509,-0.00425896,
66,0.02107323,0.00019695,0.00260954,
67,-0.00962574,-0.00920723,-0.00297881,
68,-0.00716391,-0.00445591,0.00125553,
69,-0.00130477,-0.00782861,0.00189561,
70,0.00155095,-0.00844406,0.00142786,
71,-0.00029542,-0.01265379,-0.01179215,
72,0.00805017,-0.00805017,-0.00642537,
73,0.00982269,-0.00612995,-0.00150171,
74,0.01905454,-0.00268339,0.00315114,
75,0.01420474,-0.00300343,-0.00497289,
76,-0.0040374,-0.01664195,-0.01080742,
77,-0.01597725,-0.0203593,0.00169866,
78,-0.01245684,0.00132939,0.00489903,
79,0.01272764,0.00292957,0.00440667,
80,0.01706046,-0.01110284,-0.00251106,
81,-0.02648925,-0.00662231,-0.01297383,
82,-0.01654347,-0.01597725,-0.00580991,
83,0.00851792,-0.00558835,-0.00551449,
84,0.00182175,-0.01678966,0.0008124,
85,0.00140324,-0.00576067,-0.00009847,
86,0.00216641,0.00093549,-0.01363852,
87,0.0148202,-0.00103397,-0.00004924,
88,0.00819788,-0.00339732,-0.00521907,
89,-0.00066469,-0.00979807,-0.00765628,
90,0.00901028,-0.00839483,-0.00871487,
91,0.00834559,-0.0159034,0.0002708,
92,-0.00137862,0.00029542,-0.00514522,
93,-0.00155095,-0.00120629,0.00137862,
94,-0.00206793,0.00194484,-0.00022156,
95,0.01174291,-0.00657308,-0.00275725,
96,-0.00472671,-0.02136865,-0.01029043,
97,-0.0033727,-0.00679464,-0.00814865,
98,0.01811904,-0.00721315,-0.00317576,
99,0.02232877,-0.00531755,-0.00206793,
100,-0.00745933,-0.00103397,0.00494827,
101,-0.01578031,-0.01093051,0.00435743,
102,-0.00465285,-0.00438205,0.00524369,
103,0.00871487,-0.01090589,-0.01484481,
104,-0.00231412,-0.00965036,-0.0008124,
105,0.00558835,-0.00322499,-0.00115706,
106,0.00548987,-0.01001963,-0.00635151,
107,-0.00322499,-0.01445092,-0.00150171,
108,0.00745933,-0.00642537,-0.00206793,
109,0.01036429,-0.00118168,-0.00083702,
110,0.01016734,-0.01447554,-0.00809941,
111,0.00622842,-0.00600686,-0.010512,
112,0.00649922,-0.00918261,-0.00519445,
113,0.01533718,-0.01435245,-0.00999502,
114,0.02599689,0.00376659,0.0040374,
115,-0.00044313,-0.00051698,-0.00204332,
116,-0.00654846,-0.01942381,0.00140324,
117,-0.00366812,-0.00514522,-0.00568682,
118,0.00733624,-0.00851792,-0.01090589,
119,-0.01137364,-0.00753319,-0.00199408,
120,0.01816828,-0.00805017,-0.00465285,
121,-0.00999502,-0.00790246,-0.00128015,
122,0.00280648,-0.00039389,-0.00300343,
123,-0.00157557,-0.0022895,-0.00952727,
124,0.00189561,-0.00236335,0.00046775,
125,-0.00893643,-0.00841945,-0.0031019,
126,-0.00199408,-0.01038891,-0.00438205,
127,-0.00561296,-0.00777937,-0.00041851,
128,0.02321502,-0.01528794,-0.00915799,
129,0.00499751,-0.00297881,-0.00780399,
130,-0.00893643,-0.0067454,-0.00423434,
131,-0.00782861,-0.0002708,-0.00285572,
132,0.00379121,-0.01262917,-0.01080742,
133,0.00514522,-0.01425398,-0.00152633,
134,0.01629729,-0.01597725,-0.00962574,
135,-0.01250608,-0.00120629,-0.00103397,
136,0.00051698,-0.01346619,-0.00573606,
137,0.01036429,-0.00829636,-0.00103397,
138,-0.00846868,-0.00039389,-0.00226488,
139,0.00066469,-0.00433281,-0.00322499,
140,-0.00497289,-0.00388969,-0.00347118,
141,-0.00531755,-0.00617918,-0.00832097,
142,0.00169866,-0.00834559,-0.00632689,
143,0.04081708,-0.00216641,0.00118168,
144,-0.00635151,-0.00770552,-0.00839483,
145,0.00059084,-0.00785323,-0.00416049,
146,0.00839483,-0.00635151,0.00169866,
147,-0.005933,-0.00396354,-0.00384045,
148,-0.01088127,-0.01191524,-0.0107828,
149,0.00014771,-0.0093057,-0.00967498,
150,0.00839483,-0.01312153,-0.00600686,
151,0.00189561,-0.00216641,-0.00137862,
152,0.03591805,-0.00878872,-0.00814865,
153,-0.0167158,-0.00388969,0.00004924,
154,-0.02464288,-0.00142786,-0.00573606,
155,-0.0090349,-0.00162481,0.00524369,
156,0.01467249,-0.02001465,-0.01265379,
157,-0.00128015,-0.00224026,-0.01324463,
158,0.00509598,-0.00548987,-0.00374198,
159,0.02483983,-0.00450514,0.00226488,
160,-0.00588377,-0.00699159,-0.00445591,
161,-0.02082705,-0.00551449,-0.00883796,
162,0.00017233,-0.00839483,-0.00531755,
163,0.01294921,-0.0017479,-0.00179713,
164,0.00672079,-0.00918261,-0.00558835,
165,0.01602649,-0.00366812,-0.00499751,
166,0.01841446,-0.00376659,-0.00507136,
167,-0.01405703,-0.00004924,0.00450514,
168,-0.02840948,-0.004579,0.0010832,
169,-0.00329885,-0.00765628,-0.00489903,
170,0.00723777,-0.00465285,-0.00118168,
171,0.00113244,-0.00765628,-0.00558835,
172,0.01208757,-0.01038891,-0.005933,
173,-0.00595762,-0.00731162,-0.00438205,
174,0.0008124,-0.00896105,-0.00420972,
175,0.00856716,-0.00317576,0.00019695,
176,0.00103397,0.00236335,-0.00103397,
177,0.02594765,0.00113244,-0.00731162,
178,-0.00224026,-0.01915301,-0.00388969,
179,-0.01511561,-0.01701122,0.0020187,
180,-0.00999502,-0.0074101,0.00022156,
181,0.01137364,-0.01546027,0.00039389,
182,0.0064746,0.00076317,-0.00265877,
183,-0.00573606,-0.01592802,-0.00022156,
184,0.00022156,-0.00022156,-0.00118168,
185,0.01826675,-0.00152633,-0.00962574,
186,-0.01344157,-0.00699159,0.00076317,
187,-0.01019196,-0.00856716,-0.00563758,
188,0.00937956,-0.00322499,-0.00315114,
189,0.0320776,-0.00711468,0.00462823,
190,-0.00187099,-0.00115706,-0.0040374,
191,-0.00733624,-0.00120629,0.00137862,
192,0.00211717,-0.00728701,0.00438205,
193,-0.00125553,-0.00558835,-0.0110536,
194,-0.00211717,-0.00844406,0.00130477,
195,0.00846868,-0.01026582,0.00088626,
196,0.00622842,-0.01358928,-0.00334808,
197,-0.00238797,-0.00600686,-0.00167404,
198,0.00551449,-0.0136139,-0.00164942,
199,-0.00534216,-0.02065472,-0.005933,
200,0.00733624,-0.00214179,0.00128015,
201,-0.00817326,-0.00925647,0.00009847,
202,-0.00238797,-0.0062038,0.00022156,
203,0.00662231,-0.00662231,-0.0074101,
204,0.01826675,-0.00982269,0.00142786,
205,-0.02833562,-0.00785323,-0.00440667,
206,-0.00137862,-0.00145248,0.00118168,
207,-0.00765628,-0.01211219,-0.00206793,
208,-0.0096996,0.00179713,-0.00807479,
209,0.00694235,-0.00420972,-0.00292957,
210,0.00600686,-0.00758243,-0.00920723,
211,0.0096996,-0.00856716,-0.00334808,
212,0.01326924,-0.00733624,-0.00883796,
213,0.02582456,-0.00536678,-0.00551449,
214,-0.01669118,-0.00366812,-0.00263415,
215,-0.00014771,-0.00083702,0.00078778,
216,-0.01014272,-0.00408663,-0.00312652,
217,-0.00253568,-0.00302805,0.00275725,
218,0.00617918,-0.00745933,-0.00009847,
219,-0.00384045,-0.01344157,-0.0020187,
220,0.00999502,-0.0130723,-0.00317576,
221,0.00317576,0.00056622,-0.00967498,
222,0.02727704,-0.00625304,-0.01974385,
223,-0.01693737,-0.0093057,-0.00519445,
224,-0.01297383,-0.00588377,-0.0062038,
225,0.00450514,-0.01134902,-0.00937956,
226,0.01782362,-0.0074101,-0.00302805,
227,-0.00078778,-0.00408663,-0.00285572,
228,-0.01198909,0.00039389,-0.00573606,
229,-0.00859177,0.00169866,0.00155095,
230,0.02619383,-0.01560798,0.00128015,
231,-0.00571144,-0.0093057,0.0095765,
232,0.00064007,-0.00649922,-0.01767591,
233,0.00029542,0.00278186,-0.00792708,
234,-0.01344157,-0.01410627,0.00248644,
235,-0.00499751,-0.0087641,-0.00728701,
236,0.005933,-0.01080742,-0.00736086,
237,0.02488907,-0.00302805,-0.00608071,
238,0.00388969,-0.00694235,-0.00711468,
