製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,10/19 12:39:17,10/19 12:39:17,10/19 12:39:17,
サンプリング周波数,200,200,200,
シーケンス数,6674,6668,6668,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,-0.00219103,-0.02902493,-0.01142287,
3,0.03513026,-0.02976348,-0.00465285,
4,0.01420474,-0.00113244,-0.0008124,
5,-0.00780399,0.00482518,-0.00263415,
6,-0.01518947,-0.01701122,-0.00216641,
7,-0.01408165,-0.00869025,0.00315114,
8,-0.00164942,0.01235837,-0.00083702,
9,0.0010832,0.0022895,-0.00499751,
10,0.02476597,-0.02235338,-0.00152633,
11,0.00137862,-0.01112746,0.00585915,
12,-0.0076809,0.02114709,-0.00809941,
13,-0.00251106,-0.02316579,-0.01664195,
14,-0.00667155,-0.02410128,-0.03869991,
15,-0.0048498,-0.00753319,0.0053914,
16,0.01016734,0.00132939,-0.0148202,
17,0.00851792,-0.02808944,-0.01006887,
18,0.00238797,-0.00324961,0.00733624,
19,0.00962574,-0.00679464,-0.02402743,
20,-0.0068685,-0.00736086,0.00940418,
21,0.00883796,-0.02220567,-0.00384045,
22,-0.00324961,0.00745933,-0.00745933,
23,-0.016445,-0.00093549,0.00420972,
24,0.00096011,0.00253568,-0.01164444,
25,-0.00950265,-0.04089094,-0.00595762,
26,0.00103397,-0.00199408,-0.00187099,
27,0.03872453,0.01410627,-0.00531755,
28,0.00561296,-0.01014272,-0.00059084,
29,0.00192022,0.00743472,0.00438205,
30,0.01272764,-0.00472671,-0.00388969,
31,-0.00083702,-0.00905952,0.0031019,
32,0.00819788,0.01093051,0.01548489,
33,0.02705547,-0.0008124,-0.01260455,
34,-0.00056622,-0.01383546,-0.00967498,
35,0.00460362,-0.02877875,-0.0002708,
36,0.01001963,-0.01376161,0.01287535,
37,-0.02193487,-0.01260455,-0.01201371,
38,-0.0179221,0.00093549,-0.00866563,
39,0.00305266,-0.01358928,-0.01277688,
40,-0.00068931,-0.00987192,-0.01504176,
41,-0.00475133,-0.00472671,-0.00450514,
42,-0.00300343,-0.01299844,-0.00728701,
43,0.01947305,-0.00231412,-0.00334808,
44,0.00723777,0.01322001,0.00888719,
45,-0.01154597,0.01939919,0.00342194,
46,-0.01154597,-0.02789249,-0.00349579,
47,-0.00231412,-0.00965036,-0.0033727,
48,0.01016734,-0.01516485,-0.00743472,
49,0.01925148,-0.00625304,-0.00007385,
50,-0.00347118,-0.01198909,0.00140324,
51,0.00585915,-0.01001963,-0.03092054,
52,-0.00534216,0.01048738,-0.00152633,
53,0.00608071,-0.01048738,-0.00950265,
54,-0.01582954,-0.0008124,-0.00017233,
55,-0.00083702,-0.01339234,-0.00056622,
56,0.03808445,-0.01585416,-0.00241259,
57,-0.01890683,-0.0039143,0.01211219,
58,-0.01838984,-0.00076317,0.00066469,
59,0.00113244,-0.01004425,0.00162481,
60,0.01006887,0.01262917,-0.00105859,
61,-0.01474634,-0.01026582,-0.01216142,
62,-0.00416049,-0.01472172,0.01189062,
63,-0.00093549,0.00561296,-0.00118168,
64,0.00994578,0.01418012,-0.01228451,
65,0.01437707,-0.01479558,-0.01646962,
66,0.0074101,-0.01235837,-0.00999502,
67,0.00132939,0.01351543,0.00169866,
68,-0.00696697,-0.00155095,0.01541103,
69,0.00022156,-0.02900032,-0.00305266,
70,-0.02274728,-0.01400779,0.00448052,
71,0.00509598,-0.00507136,-0.00411125,
72,0.02902493,0.00846868,-0.00854254,
73,-0.00888719,-0.00384045,0.00253568,
74,-0.00755781,-0.01755282,-0.01240761,
75,0.00933032,-0.00450514,-0.0062038,
76,-0.01216142,0.00150171,-0.00359427,
77,-0.02021159,0.00489903,0.00433281,
78,0.00832097,0.00878872,-0.00334808,
79,0.00130477,-0.02316579,-0.00869025,
80,-0.0010832,-0.0153618,0.00292957,
81,-0.01358928,-0.00809941,0.00128015,
82,0.010512,-0.02176255,-0.01029043,
83,0.0175282,-0.00721315,0.00908414,
84,0.02225491,-0.00423434,0.00637613,
85,0.01930072,0.00162481,0.00046775,
86,0.01176753,0.01905454,0.01056124,
87,-0.01191524,0.00814865,-0.02986195,
88,-0.00526831,-0.01614958,0.00691773,
89,0.01134902,-0.01996541,-0.00625304,
90,-0.00622842,-0.0115952,-0.01381085,
91,-0.01368775,-0.00076317,0.01445092,
92,0.01294921,-0.0010832,-0.00937956,
93,-0.01811904,-0.00662231,-0.00265877,
94,-0.00211717,-0.01614958,-0.00834559,
95,-0.00945341,-0.01100436,-0.0020187,
96,0.03513026,-0.00396354,0.00662231,
97,0.02552914,-0.00342194,-0.01541103,
98,-0.00285572,0.00268339,0.0110536,
99,-0.00659769,-0.00401278,-0.00324961,
100,0.01097975,-0.00472671,-0.01080742,
101,-0.00327423,-0.0033727,0.00155095,
102,0.01250608,-0.01075818,-0.00083702,
103,0.0215656,0.00859177,0.00448052,
104,-0.01393394,-0.0295173,0.00083702,
105,-0.00908414,-0.01164444,-0.00002462,
106,-0.0064746,0.01117669,-0.00908414,
107,0.02114709,-0.00883796,-0.00612995,
108,0.01344157,-0.00288034,-0.00384045,
109,0.01011811,-0.02333811,-0.01198909,
110,-0.00440667,-0.00819788,-0.00745933,
111,-0.01930072,0.01235837,0.0082225,
112,0.015091,-0.01804519,-0.00974883,
113,0.00470209,-0.01398317,0.00312652,
114,-0.00736086,0.0002708,0.0033727,
115,0.01319539,0.00731162,-0.00583453,
116,0.02939421,-0.00224026,-0.00125553,
117,-0.00371736,0.01696198,0.0053914,
118,-0.00928109,0.00014771,-0.00704082,
119,-0.01843908,-0.00878872,0.00753319,
120,-0.01454939,-0.02808944,-0.00704082,
121,-0.01265379,-0.03229916,0.0090349,
122,-0.01294921,-0.00152633,-0.01632191,
123,0.01314615,-0.00605609,0.00224026,
124,0.01201371,-0.00211717,-0.00312652,
125,0.02663696,0.00064007,-0.0008124,
126,0.01331848,0.00450514,0.00302805,
127,-0.00711468,-0.00253568,0.00413587,
128,0.00076317,-0.0010832,0.00032004,
129,0.00354503,-0.00580991,-0.00113244,
130,-0.01174291,-0.00937956,-0.00386507,
131,-0.01038891,-0.02205796,-0.01061047,
132,-0.02725242,-0.0039143,-0.00519445,
133,0.00450514,0.00699159,-0.00398816,
134,0.02186102,0.00211717,0.0008124,
135,0.00576067,-0.01339234,0.00182175,
136,0.00891181,-0.00236335,0.00265877,
137,-0.00285572,0.00920723,0.00366812,
138,-0.02380586,-0.02525834,-0.00841945,
139,0.01811904,-0.01696198,-0.00733624,
140,0.01664195,0.0153618,-0.0053914,
141,0.02373201,0.00029542,-0.00509598,
142,-0.00438205,-0.02506139,-0.00361888,
143,-0.00071393,0.00179713,0.00164942,
144,0.00238797,-0.02624307,0.00699159,
145,-0.00130477,0.00580991,0.01223528,
146,-0.00832097,-0.01134902,-0.03968464,
147,-0.00974883,-0.02799097,-0.00588377,
148,0.00231412,0.00807479,-0.00083702,
149,-0.005933,-0.01270302,0.00829636,
150,0.01075818,-0.03690278,-0.00204332,
151,0.01208757,0.01134902,-0.00226488,
152,-0.00132939,-0.00460362,-0.00580991,
153,0.00721315,-0.01277688,0.00386507,
154,0.00029542,-0.00071393,0.01208757,
155,-0.00130477,0.0005416,0.00278186,
156,-0.00236335,-0.00955189,-0.00989654,
157,0.01422936,-0.0039143,-0.00499751,
158,-0.00819788,0.00420972,-0.0074101,
159,-0.0005416,-0.02939421,0.0039143,
160,-0.00132939,-0.00064007,0.00809941,
161,-0.01922686,0.02193487,0.00352041,
162,-0.00253568,-0.0280402,-0.00445591,
163,0.01740511,-0.01715893,-0.00374198,
164,0.00411125,0.00238797,-0.01102898,
165,0.01250608,-0.00546525,-0.00536678,
166,0.00189561,-0.0040374,-0.00982269,
167,0.00450514,-0.02456903,0.0017479,
168,0.00782861,-0.00004924,-0.00046775,
169,-0.00199408,-0.01085665,0.01233375,
170,-0.00937956,-0.00595762,-0.00901028,
171,-0.00305266,0.00866563,-0.01171829,
172,0.01683889,-0.00743472,-0.00105859,
173,-0.0048498,0.00347118,0.00502213,
174,-0.0062038,0.00167404,0.0068685,
175,-0.02087629,-0.02705547,-0.00376659,
176,0.0020187,-0.0130723,-0.01356466,
177,-0.00157557,-0.02823715,-0.01100436,
178,-0.00625304,-0.01516485,-0.01154597,
179,0.0068685,0.00551449,-0.01245684,
180,0.00992116,0.00733624,-0.00268339,
181,0.00224026,0.00034466,0.00140324,
182,0.00354503,0.00595762,0.0107828,
183,-0.00253568,0.00066469,-0.01666656,
184,0.01432783,-0.01580493,-0.00568682,
185,-0.00361888,-0.01738049,-0.00864101,
186,-0.02011312,-0.00334808,0.00760704,
187,0.01905454,0.00706544,-0.00718853,
188,0.01117669,0.00182175,-0.01408165,
189,0.00408663,-0.02996043,-0.00807479,
190,0.03650889,-0.01014272,-0.00477594,
191,0.00637613,-0.00871487,0.00039389,
192,-0.03407168,-0.0172574,0.0010832,
193,-0.01555874,-0.00187099,-0.01930072,
194,0.00140324,0.01843908,-0.00103397,
195,-0.00051698,-0.01642038,-0.03648427,
196,0.00423434,0.01642038,-0.00617918,
197,0.00022156,-0.02016236,-0.01221066,
198,0.01122593,-0.02390433,0.00280648,
199,0.01102898,-0.00989654,-0.00219103,
200,-0.00278186,-0.01004425,-0.00472671,
201,0.01115207,-0.01472172,0.00068931,
202,-0.0096996,0.00839483,0.00465285,
203,-0.00162481,0.01122593,0.00881334,
204,-0.00248644,0.00388969,0.00460362,
205,0.0090349,-0.0074101,-0.00420972,
206,-0.00974883,-0.03461328,-0.01289997,
207,0.00679464,-0.01016734,-0.00728701,
208,-0.02939421,0.00214179,-0.0125307,
209,0.00275725,0.00642537,0.00497289,
210,0.0010832,-0.01422936,0.00423434,
211,0.00076317,-0.02011312,-0.01216142,
212,-0.00760704,-0.00864101,-0.00182175,
213,0.00785323,-0.0002708,-0.00064007,
214,0.00044313,-0.01398317,-0.00992116,
215,0.00809941,-0.00169866,-0.0005416,
216,-0.00416049,-0.01004425,0.00706544,
217,-0.00544064,0.00280648,-0.01309692,
218,-0.00376659,0.01041353,0.00711468,
219,0.04315582,0.01275226,0.005933,
220,-0.01681427,-0.00928109,0.0033727,
221,0.00748395,-0.04598692,-0.01546027,
222,-0.00974883,-0.02060549,0.00078778,
223,-0.00128015,-0.00452976,0.00588377,
224,0.00704082,0.00342194,0.0017479,
225,-0.00273263,-0.01339234,-0.00866563,
226,0.00324961,-0.01573107,-0.01233375,
227,-0.00371736,-0.00046775,0.00814865,
228,-0.00066469,-0.00125553,-0.02294422,
229,0.00224026,-0.00435743,0.02097476,
230,-0.00905952,-0.00300343,0.01356466,
231,-0.01558336,-0.01491867,-0.02176255,
232,0.01420474,-0.0053914,-0.01061047,
233,0.02459365,-0.00273263,0.0002708,
234,0.00115706,0.00792708,0.01309692,
235,-0.00376659,0.0074101,0.00711468,
236,0.01715893,-0.04697165,-0.01006887,
237,0.01386008,-0.02003927,-0.01289997,
238,0.00497289,-0.00487442,-0.00243721,
239,-0.00091088,-0.00561296,0.00883796,
240,0.00967498,0.004579,0.02533219,
241,-0.00472671,-0.00499751,-0.05413556,
242,0.00248644,-0.00977345,0.00327423,
243,0.01110284,-0.0051206,-0.00475133,
244,0.00440667,-0.02503677,-0.00280648,
245,-0.01548489,-0.00987192,-0.00790246,
246,0.00558835,-0.01435245,-0.02085167,
247,-0.00327423,0.00435743,0.01097975,
248,-0.0153618,0.00327423,0.01774977,
249,0.00194484,-0.01349081,0.00152633,
250,0.00546525,-0.01314615,-0.00694235,
251,0.00994578,-0.00408663,0.0048498,
252,0.00260954,0.00379121,-0.00359427,
253,0.01484481,-0.00278186,-0.00361888,
254,-0.02028545,0.01309692,0.00856716,
255,-0.00709006,-0.01425398,-0.02171331,
256,-0.00649922,0.00130477,-0.01285073,
257,0.01742973,-0.01339234,0.00915799,
258,0.01004425,-0.01314615,-0.00482518,
259,0.02875413,-0.00962574,-0.00211717,
260,-0.00790246,-0.01297383,-0.00044313,
261,-0.02365815,0.00918261,0.00413587,
262,-0.00994578,-0.00654846,-0.00721315,
263,0.00913338,-0.01629729,-0.01683889,
264,-0.01061047,-0.00580991,0.00411125,
265,0.00669617,-0.00704082,0.00733624,
266,0.03884762,0.00157557,-0.02119633,
267,-0.00450514,-0.02099938,-0.00130477,
268,-0.02550452,-0.01890683,-0.01688813,
269,-0.01102898,0.00029542,-0.01216142,
270,0.00236335,0.00753319,0.01541103,
271,0.02577532,0.00142786,0.00435743,
272,0.00231412,0.00792708,0.00374198,
273,-0.00460362,0.0039143,-0.00470209,
274,-0.00096011,0.00231412,-0.00965036,
275,-0.00585915,-0.02218106,-0.00883796,
276,-0.00056622,-0.01974385,0.00002462,
