label,1ch,2ch,3ch
0.0,322.0,280.0,-360.0
0.0,229.0,233.0,-360.0
0.0,75.0,133.0,-361.0
0.0,-135.0,-17.0,-360.0
0.0,-342.0,-185.0,-360.0
0.0,-361.0,-249.0,-360.0
0.0,458.0,212.0,-361.0
0.0,491.0,326.0,-361.0
0.0,491.0,388.0,-360.0
0.0,-364.0,-67.0,-359.0
0.0,-363.0,-185.0,-360.0
0.0,-362.0,-257.0,-360.0
0.0,-361.0,-302.0,-360.0
0.0,-360.0,-331.0,-360.0
0.0,-210.0,-250.0,-360.0
0.0,15.0,-102.0,-361.0
0.0,191.0,47.0,-361.0
0.0,313.0,169.0,-361.0
0.0,359.0,243.0,-361.0
0.0,349.0,275.0,-361.0
0.0,319.0,279.0,-361.0
0.0,222.0,232.0,-360.0
0.0,67.0,130.0,-361.0
0.0,-139.0,-21.0,-360.0
0.0,-347.0,-188.0,-360.0
0.0,-362.0,-252.0,-360.0
0.0,490.0,211.0,-361.0
0.0,491.0,325.0,-361.0
0.0,491.0,388.0,-360.0
0.0,-365.0,-65.0,-360.0
0.0,-364.0,-185.0,-360.0
0.0,-363.0,-257.0,-360.0
0.0,-362.0,-303.0,-360.0
0.0,-360.0,-331.0,-360.0
0.0,-206.0,-243.0,-360.0
0.0,23.0,-95.0,-361.0
0.0,199.0,50.0,-361.0
0.0,318.0,170.0,-360.0
0.0,357.0,243.0,-361.0
0.0,348.0,276.0,-361.0
0.0,316.0,280.0,-361.0
0.0,218.0,232.0,-361.0
0.0,62.0,125.0,-361.0
0.0,-145.0,-29.0,-360.0
0.0,-353.0,-192.0,-360.0
0.0,-363.0,-254.0,-360.0
0.0,491.0,210.0,-361.0
0.0,490.0,324.0,-361.0
0.0,491.0,387.0,-360.0
0.0,-366.0,-68.0,-360.0
0.0,-365.0,-187.0,-360.0
0.0,-364.0,-259.0,-360.0
0.0,-363.0,-305.0,-360.0
0.0,-362.0,-333.0,-360.0
0.0,-197.0,-239.0,-359.0
0.0,28.0,-93.0,-361.0
0.0,200.0,49.0,-360.0
0.0,313.0,168.0,-361.0
0.0,349.0,240.0,-361.0
0.0,338.0,272.0,-361.0
0.0,307.0,273.0,-361.0
0.0,211.0,221.0,-361.0
0.0,52.0,113.0,-361.0
0.0,-158.0,-39.0,-360.0
0.0,-358.0,-197.0,-360.0
0.0,-364.0,-257.0,-360.0
0.0,491.0,208.0,-361.0
0.0,491.0,323.0,-361.0
0.0,491.0,386.0,-361.0
0.0,-367.0,-74.0,-360.0
0.0,-366.0,-191.0,-360.0
0.0,-365.0,-263.0,-360.0
0.0,-364.0,-307.0,-360.0
0.0,-363.0,-335.0,-360.0
0.0,-186.0,-236.0,-360.0
0.0,33.0,-92.0,-361.0
0.0,198.0,51.0,-360.0
0.0,307.0,169.0,-360.0
0.0,343.0,239.0,-360.0
0.0,334.0,267.0,-360.0
0.0,302.0,265.0,-360.0
0.0,201.0,212.0,-361.0
0.0,38.0,104.0,-360.0
0.0,-167.0,-46.0,-360.0
0.0,-361.0,-201.0,-360.0
0.0,-365.0,-260.0,-360.0
0.0,491.0,205.0,-361.0
0.0,490.0,321.0,-361.0
0.0,491.0,385.0,-361.0
0.0,-368.0,-76.0,-360.0
0.0,-368.0,-193.0,-360.0
0.0,-367.0,-264.0,-360.0
0.0,-366.0,-309.0,-360.0
0.0,-364.0,-337.0,-360.0
0.0,-177.0,-234.0,-360.0
0.0,33.0,-88.0,-360.0
0.0,195.0,54.0,-360.0
0.0,307.0,170.0,-360.0
0.0,341.0,236.0,-360.0
0.0,330.0,262.0,-360.0
0.0,294.0,259.0,-360.0
0.0,191.0,206.0,-360.0
0.0,26.0,97.0,-360.0
0.0,-175.0,-54.0,-360.0
0.0,-365.0,-205.0,-360.0
0.0,-366.0,-262.0,-360.0
0.0,491.0,199.0,-361.0
0.0,491.0,317.0,-361.0
0.0,491.0,383.0,-361.0
0.0,-370.0,-78.0,-360.0
0.0,-370.0,-195.0,-360.0
0.0,-368.0,-266.0,-360.0
0.0,-367.0,-311.0,-360.0
0.0,-366.0,-339.0,-360.0
0.0,-172.0,-231.0,-360.0
0.0,37.0,-85.0,-361.0
0.0,198.0,57.0,-360.0
0.0,306.0,170.0,-360.0
0.0,338.0,235.0,-360.0
0.0,325.0,260.0,-360.0
0.0,288.0,254.0,-360.0
0.0,183.0,200.0,-360.0
0.0,14.0,88.0,-360.0
0.0,-187.0,-64.0,-360.0
0.0,-368.0,-209.0,-360.0
0.0,-368.0,-263.0,-360.0
0.0,491.0,194.0,-361.0
0.0,491.0,314.0,-361.0
0.0,491.0,381.0,-361.0
0.0,-372.0,-80.0,-360.0
