label,1ch
1,17
2,19
3,19
4,18
5,18
6,16
7,14
8,12
9,8
10,7
11,8
12,7
13,9
14,9
15,8
16,10
17,9
18,10
19,12
20,12
21,15
22,17
23,19
24,20
25,20
26,18
27,18
28,17
29,15
30,14
31,12
32,10
33,10
34,10
35,9
36,11
37,11
38,13
39,14
40,14
41,17
42,18
43,17
44,16
45,17
46,15
47,15
48,13
49,11
50,10
51,11
52,9
53,10
54,9
55,9
56,10
57,12
58,14
59,16
60,15
61,15
62,17
63,17
64,16
65,17
66,15
67,15
68,14
69,11
70,10
71,10
72,9
73,11
74,10
75,8
76,8
77,4
78,4
79,7
80,9
81,12
82,16
83,17
84,19
85,21
86,19
87,17
88,15
89,11
90,10
91,9
92,7
93,7
94,5
95,4
96,7
97,8
98,13
99,17
100,18
101,21
102,20
103,19
104,19
105,16
106,12
107,9
108,4
109,2
110,3
111,3
112,5
113,6
114,6
115,10
116,12
117,14
118,16
119,15
120,16
121,17
122,18
123,17
124,14
125,11
126,11
127,10
128,10
129,10
130,9
131,9
132,9
133,8
134,11
135,11
136,12
137,13
138,13
139,15
140,15
141,12
142,13
143,13
144,12
145,13
146,13
147,13
148,14
149,14
150,13
151,12
152,9
153,10
154,11
155,10
156,11
157,11
158,11
159,13
160,13
161,13
162,13
163,12
164,12
165,12
166,12
167,11
168,9
169,6
170,7
171,8
172,8
173,8
174,8
175,9
176,11
177,10
178,10
179,8
180,8
181,10
182,11
183,11
184,13
185,14
186,13
187,11
188,10
189,8
190,9
191,9
192,9
193,12
194,11
195,12
196,12
197,12
198,11
199,14
200,14
201,15
202,16
203,17
204,15
205,15
206,13
207,10
208,9
209,6
210,6
211,6
212,5
213,7
214,8
215,9
216,10
217,11
218,12
219,14
220,15
221,15
222,16
223,13
224,11
225,11
226,9
227,6
228,7
229,8
230,8
231,9
232,11
233,12
234,12
235,12
236,10
237,13
238,12
239,12
240,14
241,12
242,13
243,15
244,12
245,10
246,9
247,4
248,-1
249,-1
250,-1
251,0
252,2
253,3
254,9
255,12
256,13
257,16
258,17
259,15
260,18
261,18
262,15
263,11
264,10
265,8
266,7
267,8
268,6
269,6
270,8
271,8
272,9
273,10
274,11
275,10
276,12
277,14
278,15
279,16
280,14
281,14
282,13
283,14
284,11
285,10
286,12
287,9
288,7
289,8
290,8
291,7
292,9
293,9
294,9
295,10
296,11
297,12
298,12
299,13
300,13
301,14
302,16
303,16
304,14
305,14
306,13
307,11
308,8
309,7
310,5
311,4
312,4
313,6
314,7
315,9
316,12
317,13
318,15
319,13
320,12
321,10
322,11
323,11
324,11
325,10
326,11
327,12
328,11
329,12
330,11
331,10
332,12
333,13
334,9
335,7
336,6
337,7
338,10
339,12
340,14
341,15
342,20
343,22
344,17
345,15
346,14
347,12
348,10
349,9
350,9
351,8
352,10
353,10
354,10
355,12
356,10
357,11
358,12
359,11
360,12
361,16
362,17
363,17
364,19
365,22
366,21
367,19
368,15
369,12
370,10
371,6
372,4
373,5
374,7
375,9
376,11
377,13
378,15
379,18
380,19
381,21
382,21
383,18
384,17
385,17
386,17
387,14
388,13
389,10
390,10
391,9
392,10
393,11
394,11
395,11
396,13
397,13
398,16
399,18
400,18
401,19
402,19
403,20
404,22
405,21
406,19
407,18
408,15
409,13
410,12
411,11
412,10
413,11
414,10
415,12
416,13
417,14
418,16
419,16
420,16
421,17
422,18
423,18
424,19
425,18
426,19
427,21
428,19
429,16
430,13
431,12
432,12
433,10
434,11
435,13
436,14
437,15
438,16
439,16
440,18
441,21
442,19
443,19
444,20
445,19
446,19
447,19
448,17
449,16
450,16
451,14
452,14
453,13
454,13
455,13
456,13
457,15
458,18
459,18
460,20
461,20
462,18
463,17
464,17
465,15
466,12
467,9
468,5
469,5
470,7
471,8
472,7
473,9
474,10
475,13
476,17
477,18
478,20
479,18
480,21
481,27
482,24
483,23
484,24
485,22
486,20
487,19
488,15
489,13
490,15
491,13
492,12
493,15
494,14
495,17
496,17
497,18
498,20
499,22
500,22
501,24
502,24
503,21
504,20
505,16
506,14
507,14
508,13
509,13
510,13
511,12
512,14
513,17
514,18
515,20
516,21
517,21
518,23
519,22
520,23
521,24
522,21
523,18
524,18
525,17
526,16
527,16
528,14
529,12
530,13
531,11
532,12
533,13
534,14
535,16
536,17
537,18
538,18
539,17
540,18
541,17
542,13
543,11
544,11
545,12
546,14
547,17
548,17
549,16
550,18
551,19
552,18
553,19
554,19
555,23
556,25
557,26
558,27
559,27
560,23
561,24
562,23
563,21
564,20
565,18
566,18
567,19
568,19
569,20
570,20
571,18
572,19
573,21
574,18
575,18
576,17
577,17
578,19
579,20
580,20
581,22
582,23
583,23
584,25
585,24
586,22
587,22
588,20
589,18
590,19
591,17
592,18
593,19
594,18
595,19
596,19
597,19
598,21
599,20
600,21
601,22
602,19
603,18
604,18
605,14
606,10
607,6
608,3
609,6
610,8
611,10
612,15
613,20
614,23
615,27
616,30
617,28
618,29
619,28
620,28
621,28
622,23
623,22
624,18
625,15
626,16
627,17
628,17
629,19
630,21
631,20
632,21
633,23
634,22
635,22
636,21
637,22
638,23
639,24
640,24
641,24
642,22
643,21
644,22
645,21
646,20
647,21
648,20
649,20
650,21
651,18
652,18
653,18
654,18
655,19
656,19
657,19
658,21
659,20
660,20
661,20
662,19
663,14
664,13
665,11
666,11
667,14
668,14
669,17
670,20
671,19
672,22
673,22
674,21
675,21
676,21
677,21
678,23
679,21
680,21
681,21
682,21
683,21
684,22
685,20
686,21
687,21
688,20
689,20
690,21
691,18
692,18
693,19
694,18
695,17
696,16
697,16
698,15
699,15
700,16
701,19
702,19
703,21
704,22
705,19
706,18
707,19
708,17
709,17
710,18
711,15
712,16
713,19
714,19
715,19
716,19
717,18
718,20
719,22
720,25
721,28
