製品名,ワイヤレス筋電センサ（乾式）,
計測時ID,1,
計測開始時刻,04/23 18:22:48,
サンプリング周波数,200,
シーケンス数,8724,
PGAゲイン,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,
ファイル保存形式,演算データ,
シーケンス番号,EMG01[ｍV],
1,0,
2,0.01154597,
3,-0.03202836,
4,0.00497289,
5,0.00728701,
6,-0.03677969,
7,0.01137364,
8,-0.00834559,
9,-0.00137862,
10,0.02127018,
11,0.00846868,
12,0.0133431,
13,0.00994578,
14,-0.00420972,
15,-0.00433281,
16,-0.00236335,
17,-0.01277688,
18,-0.00475133,
19,0.01447554,
20,-0.00487442,
21,-0.05891151,
22,-0.02205796,
23,0.06718324,
24,-0.00632689,
25,0.00029542,
26,0.01164444,
27,-0.00797632,
28,-0.02188564,
29,0.00558835,
30,0.00563758,
31,-0.00130477,
32,-0.02171331,
33,0.03586881,
34,-0.05750827,
35,-0.0295173,
36,-0.0235843,
37,0.12547929,
38,0.01277688,
39,-0.01250608,
40,0.04753787,
41,-0.00465285,
42,-0.0033727,
43,0.00044313,
44,0.01233375,
45,0.0036435,
46,0.011866,
47,0.00140324,
48,0.00851792,
49,-0.01228451,
50,-0.00064007,
51,-0.00125553,
52,-0.01068433,
53,-0.02811406,
54,-0.0800586,
55,-0.04495295,
56,0.10073794,
57,0.0564743,
58,0.02282113,
59,-0.10135339,
60,-0.00814865,
61,0.13658213,
62,0.02112247,
63,0.0036435,
64,-0.00989654,
65,-0.00743472,
66,-0.00928109,
67,-0.01602649,
68,-0.01125055,
69,0.00950265,
70,-0.00526831,
71,0.00177252,
72,0.00630228,
73,0.01088127,
74,0.00908414,
75,0.01041353,
76,-0.10957589,
77,0.01484481,
78,0.05113213,
79,-0.0002708,
80,0.02730166,
81,0.01075818,
82,-0.03498255,
83,0.0192761,
84,0.0289757,
85,0.02255033,
86,-0.03244687,
87,-0.03185603,
88,0.02698162,
89,-0.01806981,
90,-0.00832097,
91,0.02060549,
92,-0.04076785,
93,-0.11737988,
94,-0.1613481,
95,0.20278064,
96,0.11710908,
97,0.03023123,
98,0.01742973,
99,0.00140324,
100,-0.01166906,
101,-0.03513026,
102,0.00263415,
103,0.02833562,
104,0.03621347,
105,0.01142287,
106,-0.06738019,
107,-0.08621316,
108,0.10036866,
109,-0.07294392,
110,-0.14367219,
111,0.25699006,
112,0.02070396,
113,0.0436728,
114,0.03751823,
115,-0.11479497,
116,0.03722282,
117,0.05159988,
118,-0.00866563,
119,-0.10088565,
120,-0.0392169,
121,0.06853725,
122,0.02082705,
123,0.00709006,
124,-0.03387473,
125,0.02727704,
126,-0.00004924,
127,0.03247149,
128,-0.02336273,
129,0.00723777,
130,0.0010832,
131,0.00435743,
132,-0.00844406,
133,-0.00721315,
134,-0.06196417,
135,0.08956125,
136,0.01597725,
137,-0.00204332,
138,-0.02636616,
139,-0.0200885,
140,0.06674011,
141,-0.00091088,
142,-0.02050701,
143,-0.00765628,
144,-0.03264382,
145,-0.00809941,
146,0.05967467,
147,0.01432783,
148,0.00888719,
149,0.00132939,
150,0.00236335,
151,-0.06102868,
152,0.01605111,
153,0.00937956,
154,0.0337024,
155,0.00497289,
156,0.00445591,
157,0.00169866,
158,0.00440667,
159,0.00268339,
160,0.00152633,
161,-0.02063011,
162,0.00113244,
163,-0.02296884,
164,-0.00696697,
165,0.0218364,
166,-0.04999969,
167,-0.01499252,
168,0.03096978,
169,0.07067904,
170,-0.12119572,
171,0.06558306,
172,0.04965504,
173,-0.01531256,
174,0.02845871,
175,-0.00251106,
176,0.00226488,
177,0.02198411,
178,-0.00034466,
179,-0.00182175,
180,-0.00137862,
181,-0.00366812,
182,0.00696697,
183,-0.03084669,
184,-0.00034466,
185,-0.0144263,
186,0.03685354,
187,0.00128015,
188,0.0053914,
189,-0.00940418,
190,-0.02836024,
191,-0.02087629,
192,-0.01491867,
193,0.03549954,
194,0.02131942,
195,0.00642537,
196,-0.04793176,
197,-0.05388938,
198,0.06033937,
199,0.03018199,
200,0.01890683,
201,-0.05078748,
202,-0.00869025,
203,0.07168839,
204,0.01826675,
205,-0.00167404,
206,-0.00302805,
207,-0.00659769,
208,0.00041851,
209,0.01048738,
210,-0.04281116,
211,-0.00167404,
212,-0.05265847,
213,0.03229916,
214,0.010512,
215,0.02134404,
216,-0.00644999,
217,-0.03764133,
218,0.04608539,
219,0.07498723,
220,-0.08692709,
221,0.0533724,
222,0.01607573,
223,-0.00152633,
224,0.00748395,
225,-0.02045778,
226,0.02208258,
