製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,04/23 18:22:48,04/23 18:22:48,04/23 18:22:48,
サンプリング周波数,200,200,200,
シーケンス数,8724,8724,8724,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.01154597,0.01826675,-0.00078778,
3,-0.03202836,0.00044313,-0.01326924,
4,0.00497289,-0.07097446,-0.00635151,
5,0.00728701,-0.00450514,-0.00864101,
6,-0.03677969,-0.0485226,-0.0125307,
7,0.01137364,-0.00987192,-0.01026582,
8,-0.00834559,-0.02348582,-0.00753319,
9,-0.00137862,-0.02205796,0.00273263,
10,0.02127018,0.00445591,-0.00718853,
11,0.00846868,0.00361888,-0.00477594,
12,0.0133431,0.00425896,0.00194484,
13,0.00994578,0.00869025,0.00132939,
14,-0.00420972,0.00745933,0.00285572,
15,-0.00433281,-0.00859177,-0.00029542,
16,-0.00236335,-0.0231904,-0.00460362,
17,-0.01277688,-0.0096996,-0.00046775,
18,-0.00475133,0.01344157,-0.00238797,
19,0.01447554,0.00642537,-0.0017479,
20,-0.00487442,0.00187099,-0.00088626,
21,-0.05891151,-0.03143752,-0.00152633,
22,-0.02205796,-0.01888221,0.00450514,
23,0.06718324,-0.01979308,-0.00561296,
24,-0.00632689,-0.01802057,-0.00994578,
25,0.00029542,0.00617918,-0.00157557,
26,0.01164444,-0.00248644,0.00236335,
27,-0.00797632,-0.01166906,-0.00573606,
28,-0.02188564,-0.00699159,-0.00347118,
29,0.00558835,0.03892148,-0.00251106,
30,0.00563758,-0.0385522,-0.0005416,
31,-0.00130477,-0.01250608,-0.00384045,
32,-0.02171331,-0.00194484,-0.00745933,
33,0.03586881,-0.00032004,-0.0064746,
34,-0.05750827,-0.00290496,-0.00462823,
35,-0.0295173,0.00192022,-0.01171829,
36,-0.0235843,0.00583453,-0.00573606,
37,0.12547929,0.01639576,-0.00548987,
38,0.01277688,-0.00155095,-0.00864101,
39,-0.01250608,0.00672079,-0.00187099,
40,0.04753787,0.01248146,-0.00379121,
41,-0.00465285,-0.01208757,-0.0082225,
42,-0.0033727,0.00103397,0.00002462,
43,0.00044313,-0.02432285,-0.00032004,
