製品名,ワイヤレス筋電センサ（乾式）,
計測時ID,2,
計測開始時刻,04/23 18:37:44,
サンプリング周波数,200,
シーケンス数,8843,
PGAゲイン,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,
ファイル保存形式,演算データ,
シーケンス番号,EMG01[ｍV],
1,0,
2,0.00302805,
3,0.00046775,
4,-0.01767591,
5,0.00871487,
6,0.01942381,
7,-0.00992116,
8,-0.00598224,
9,-0.01004425,
10,-0.00384045,
11,-0.00494827,
12,-0.01619882,
13,-0.00832097,
14,-0.03050203,
15,-0.00672079,
16,-0.01016734,
17,-0.00071393,
18,-0.00374198,
19,0.02028545,
20,-0.02016236,
21,0.02779402,
22,-0.02503677,
23,-0.02028545,
24,-0.01368775,
25,-0.00300343,
26,0.01952228,
27,-0.02927112,
28,-0.02565223,
29,-0.00428358,
30,-0.01065971,
31,-0.00669617,
32,-0.00214179,
33,-0.00709006,
34,-0.03345622,
35,0.00285572,
36,0.01905454,
37,-0.03540106,
38,-0.08146184,
39,-0.02390433,
40,0.0144263,
41,-0.01696198,
42,-0.02444594,
43,-0.00654846,
44,0.05017202,
45,0.08746869,
46,-0.00866563,
47,-0.07720288,
48,-0.00526831,
49,-0.00583453,
50,0.01804519,
51,-0.00979807,
52,-0.00536678,
53,0.00706544,
54,0.01201371,
55,-0.00622842,
56,-0.02427361,
57,-0.0419249,
58,-0.0176513,
59,0.01019196,
60,0.05088595,
61,-0.0010832,
62,-0.04005392,
63,-0.091383,
64,-0.03737053,
65,0.03756747,
66,-0.0641552,
67,0.092737,
68,0.01129978,
69,-0.070359,
70,-0.03702587,
71,0.01073356,
72,-0.02727704,
73,-0.01580493,
74,-0.00096011,
75,-0.02742475,
76,-0.00130477,
77,-0.00561296,
78,-0.03106825,
79,-0.02373201,
80,0.16314524,
81,-0.02422437,
82,-0.11885698,
83,-0.04453444,
84,-0.02168869,
85,0.00472671,
86,0.01885759,
87,-0.00076317,
88,-0.01324463,
89,-0.02557838,
90,-0.01265379,
91,-0.0082225,
92,0.0955681,
93,-0.08867499,
94,-0.0531016,
95,-0.01866064,
96,0.06873419,
97,-0.04022624,
98,-0.04377127,
99,-0.01770053,
100,0.01356466,
101,0.04219571,
102,0.01947305,
103,-0.03734591,
104,-0.0700882,
105,-0.0408417,
106,-0.00760704,
107,0.01422936,
108,0.01799595,
109,-0.01848832,
110,-0.0039143,
111,-0.00827174,
112,-0.00878872,
113,0.03709972,
114,0.00524369,
115,0.01004425,
116,0.02159022,
117,-0.09615894,
118,-0.03525335,
119,0.01878374,
120,-0.01499252,
121,-0.047981,
122,-0.04330353,
123,0.01351543,
124,-0.04697165,
125,-0.00366812,
126,-0.00901028,
127,-0.00435743,
128,0.03333313,
