製品名,ワイヤレス筋電センサ（乾式）,
計測時ID,1,
計測開始時刻,04/23 18:26:47,
サンプリング周波数,200,
シーケンス数,7084,
PGAゲイン,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,
ファイル保存形式,演算データ,
シーケンス番号,EMG01[ｍV],
1,0,
2,0.05605579,
3,0.04005392,
4,0.04608539,
5,0.00088626,
6,-0.00637613,
7,-0.02198411,
8,-0.15155004,
9,0.10502152,
10,0.13387412,
11,0.0531016,
12,0.00140324,
13,-0.00709006,
14,-0.02764631,
15,-0.10275664,
16,0.08663167,
17,0.01555874,
18,-0.14362295,
19,0.11846309,
20,0.03700125,
21,-0.07358399,
22,-0.0955681,
23,0.06405672,
24,0.11998942,
25,0.01201371,
26,-0.00585915,
27,-0.00580991,
28,-0.00709006,
29,-0.00273263,
30,-0.02956654,
31,-0.14564165,
32,0.0531016,
33,0.01462325,
34,0.02993581,
35,-0.24517329,
36,0.13606515,
37,0.05253538,
38,0.09630665,
39,-0.04551917,
40,0.04069399,
41,0.00548987,
42,0.00428358,
43,-0.01445092,
44,-0.05561266,
45,0.0357211,
46,-0.01139826,
47,-0.10411064,
48,0.04261422,
49,0.00718853,
50,-0.21888099,
51,-0.15371644,
52,0.01811904,
53,0.40725995,
54,0.02690776,
55,0.01861141,
56,0.01479558,
57,-0.01499252,
58,-0.01912839,
59,-0.03887224,
60,-0.00950265,
61,-0.04999969,
62,0.05696666,
63,0.00805017,
64,-0.00731162,
65,-0.12922127,
66,-0.19244097,
67,0.12513464,
68,0.02444594,
69,0.01260455,
70,0.08466221,
71,0.01245684,
72,-0.03133905,
73,0.0122599,
74,0.00462823,
75,0.00521907,
76,0.00236335,
77,-0.0349087,
78,0.05829605,
79,-0.021024,
80,-0.08192958,
81,-0.18215054,
82,0.15494736,
83,0.08746869,
84,0.01430321,
85,0.01393394,
86,0.01006887,
87,-0.01654347,
88,-0.08914274,
89,0.09492803,
90,0.00032004,
91,0.00445591,
92,0.0064746,
93,-0.00292957,
94,-0.02186102,
95,-0.00711468,
96,-0.00071393,
97,-0.01555874,
98,-0.00588377,
99,-0.20135278,
100,-0.06063478,
101,0.11870927,
102,-0.12983673,
103,0.15603056,
104,-0.06715863,
105,0.11787225,
106,-0.00297881,
107,-0.212431,
108,0.12693177,
109,-0.10876349,
110,-0.01319539,
111,0.18091962,
112,0.00945341,
113,-0.08404675,
114,0.04657776,
115,-0.03178218,
116,0.02712933,
117,-0.02875413,
118,-0.02626769,
119,-0.05536648,
120,0.08901964,
121,0.09143223,
122,-0.02808944,
123,-0.03185603,
124,-0.09660207,
125,0.13473576,
126,0.06336741,
127,0.01853755,
128,0.0068685,
129,0.01134902,
130,-0.0814126,
131,0.02725242,
132,-0.21031383,
133,0.06989125,
134,0.09702058,
135,0.02666158,
136,-0.02796635,
137,0.01713431,
138,-0.02058087,
139,0.049335,
140,-0.05733594,
141,0.03522874,
142,-0.07735059,
143,0.0754796,
144,-0.07365785,
145,0.08759178,
146,0.00989654,
147,0.0243967,
148,-0.00605609,
149,-0.00952727,
150,-0.01198909,
151,-0.074938,
152,0.00925647,
153,0.01445092,
154,0.01605111,
155,0.0207532,
156,-0.00071393,
157,0.00103397,
158,-0.04916267,
159,-0.09886695,
160,0.10566159,
161,0.01836523,
162,0.02294422,
163,0.00315114,
164,-0.04482986,
165,-0.01533718,
166,-0.02405204,
167,0.04682394,
168,0.00366812,
169,0.02161484,
170,0.00044313,
171,0.06398287,
172,-0.05425865,
173,-0.00327423,
174,0.03067436,
175,0.0172574,
176,-0.04276193,
177,-0.00937956,
178,0.05398785,
179,-0.01349081,
180,-0.07203304,
181,0.07038362,
182,0.03771518,
183,0.0031019,
184,-0.02250109,
185,0.02205796,
186,-0.12587319,
187,0.0536432,
188,0.00805017,
189,0.02146713,
190,0.01521409,
191,0.0146971,
192,-0.02442132,
193,0.03192989,
194,0.01979308,
195,0.00827174,
196,-0.01986694,
197,0.10088565,
198,-0.02515987,
199,-0.05595731,
200,0.12338674,
201,0.00915799,
202,0.00864101,
203,0.00918261,
204,0.00839483,
205,-0.00585915,
206,-0.00718853,
207,0.00526831,
208,0.00777937,
209,0.00157557,
210,0.01053662,
211,0.00635151,
212,0.00194484,
213,-0.0008124,
214,0.01302306,
215,0.00305266,
216,0.0167158,
217,-0.00558835,
218,0.00558835,
219,0.0025603,
220,0.05644968,
221,-0.05672048,
222,0.02663696,
223,-0.00950265,
224,0.03330851,
225,-0.07240232,
226,0.11346558,
227,-0.00881334,
228,0.011866,
229,0.05733594,
230,-0.00140324,
231,0.02543067,
232,0.00416049,
233,-0.15083611,
234,-0.01302306,
235,-0.02838486,
236,0.20964914,
237,0.00189561,
238,0.05974853,
239,-0.01971923,
240,-0.01582954,
241,0.04212185,
242,0.03350546,
243,0.01878374,
244,0.01166906,
245,0.01683889,
246,-0.00342194,
247,0.01038891,
248,-0.01789748,
249,-0.06949736,
250,-0.00814865,
251,0.00777937,
252,0.1345142,
253,0.0235843,
254,0.01770053,
255,-0.06435214,
256,0.0669863,
257,-0.02735089,
258,0.04512528,
259,0.05529262,
260,0.01597725,
261,0.02082705,
262,-0.09972859,
263,0.00100935,
264,-0.00315114,
265,0.07900001,
266,0.05765598,
267,-0.0010832,
268,-0.00928109,
269,0.1080988,
270,-0.06004395,
271,0.05708975,
272,-0.02397819,
273,0.05642506,
274,-0.01454939,
275,-0.03037894,
276,-0.08722251,
277,0.0413833,
278,0.02323964,
279,0.02602151,
280,0.02033469,
281,0.04977813,
282,-0.01962076,
283,0.01708508,
284,-0.01053662,
285,-0.0731901,
286,0.03456404,
287,-0.08906888,
288,0.07762139,
289,0.00696697,
290,0.08311126,
291,-0.02973886,
292,-0.05704052,
293,0.00691773,
294,0.06937427,
295,0.0053914,
296,0.00967498,
297,-0.02001465,
298,0.03500717,
299,0.05152603,
300,-0.02392895,
301,-0.01171829,
302,0.04229418,
303,-0.11585355,
304,0.02427361,
305,0.09517421,
306,0.07314086,
307,0.00238797,
308,-0.01090589,
309,0.03823216,
310,0.01467249,
311,0.08229886,
312,0.01504176,
313,0.00760704,
314,0.05856685,
315,-0.14702027,
316,0.0470455,
317,0.10625243,
318,0.00758243,
319,0.02557838,
320,0.03328389,
321,0.03712434,
322,0.03468713,
323,-0.01912839,
324,0.04995046,
325,-0.00216641,
326,-0.03842911,
327,-0.10223965,
328,0.06740481,
329,0.04386975,
330,-0.06134871,
331,0.14852199,
332,-0.05900998,
333,-0.00612995,
334,-0.01902992,
335,-0.02127018,
336,0.02422437,
