製品名,ワイヤレス筋電センサ（乾式）,
計測時ID,1,
計測開始時刻,04/23 18:02:45,
サンプリング周波数,200,
シーケンス数,10097,
PGAゲイン,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,
ファイル保存形式,演算データ,
シーケンス番号,EMG01[ｍV],
1,0,
2,0.00805017,
3,-0.05571113,
4,-0.03862606,
5,0.03500717,
6,0.00928109,
7,-0.01147211,
8,0.01211219,
9,0.0179221,
10,0.00992116,
11,0.00937956,
12,0.02045778,
13,-0.00162481,
14,-0.00706544,
15,-0.0022895,
16,0.00118168,
17,-0.04921191,
18,0.02799097,
19,-0.0020187,
20,-0.00059084,
21,0.00846868,
22,-0.0121368,
23,-0.00462823,
24,0.01580493,
25,0.010512,
26,0.00450514,
27,-0.00096011,
28,0.00103397,
29,0.00896105,
30,0.01011811,
31,0.00359427,
32,-0.00167404,
33,0.00066469,
34,-0.00253568,
35,-0.02759707,
36,-0.03527797,
37,0.03823216,
38,0.03485946,
39,0.01966999,
40,0.0181929,
41,0.01299844,
42,-0.0159034,
43,-0.03308695,
44,0.01878374,
45,0.0238551,
46,0.01930072,
47,-0.00339732,
48,0.00032004,
49,-0.05829605,
50,0.00573606,
51,0.01856217,
52,-0.00302805,
53,0.03136367,
54,0.00263415,
55,0.01959614,
56,-0.02269804,
57,-0.05573575,
58,-0.07097446,
59,0.05987162,
60,-0.03946308,
61,-0.04374666,
62,0.07518418,
63,0.00839483,
64,-0.04551917,
65,0.08434217,
66,0.01632191,
67,-0.05937925,
68,-0.05844376,
69,-0.06435214,
70,0.09997477,
71,0.00164942,
72,0.04010315,
73,0.00635151,
74,-0.03537645,
75,-0.07801528,
76,0.07523342,
77,-0.12181117,
78,0.10455377,
79,0.03554877,
80,-0.01090589,
81,-0.00056622,
82,-0.05056591,
83,0.00460362,
84,0.04047243,
85,0.00248644,
86,-0.00487442,
87,-0.00435743,
88,0.01777439,
89,0.00071393,
90,0.00275725,
91,-0.0394877,
92,0.00704082,
93,0.00814865,
94,0.01073356,
95,-0.01309692,
96,-0.03485946,
97,-0.00359427,
98,0.02865566,
99,0.01794671,
100,-0.00994578,
101,-0.03355469,
102,0.06890652,
103,-0.04510066,
104,-0.15979715,
105,0.12363292,
106,0.02299346,
107,0.03500717,
108,-0.01408165,
109,0.01408165,
110,0.00130477,
111,-0.00654846,
112,0.02038392,
113,0.01738049,
114,-0.00007385,
115,-0.0110536,
116,-0.06755252,
117,0.00445591,
118,0.04347585,
119,0.0172574,
120,-0.00280648,
121,0.00029542,
122,-0.01506638,
123,-0.02823715,
124,0.01430321,
125,0.02040854,
126,0.0144263,
127,-0.0025603,
128,-0.00041851,
129,0.00723777,
130,-0.00583453,
131,-0.02173793,
132,-0.00814865,
133,0.00866563,
134,-0.01248146,
135,-0.01738049,
136,-0.00728701,
137,-0.03148676,
138,0.06090559,
139,0.00096011,
140,-0.02919726,
141,-0.1171337,
142,0.1338495,
143,0.03919228,
144,-0.00187099,
145,-0.02693238,
146,-0.04103865,
147,0.04150639,
148,0.02594765,
149,-0.00878872,
150,-0.00152633,
151,-0.12675944,
152,0.12594704,
153,0.00709006,
154,0.01408165,
155,0.00548987,
156,-0.00416049,
157,-0.01878374,
158,0.00179713,
159,-0.01654347,
160,-0.01912839,
161,0.02877875,
162,-0.01595264,
163,-0.01152135,
164,0.02082705,
165,-0.0020187,
166,-0.00721315,
167,-0.04938424,
168,0.03732129,
169,-0.00056622,
170,0.01888221,
171,0.00669617,
172,-0.00199408,
173,0.00118168,
174,-0.00285572,
175,-0.02747398,
176,-0.04645466,
177,0.01573107,
178,0.02392895,
179,-0.01056124,
180,-0.0246675,
181,0.00918261,
182,-0.01026582,
183,0.01093051,
184,-0.01395856,
185,-0.03099439,
186,-0.03096978,
187,0.03183142,
188,0.05251076,
189,-0.00113244,
190,-0.01011811,
191,-0.03998006,
192,0.00477594,
193,0.04532222,
194,0.0095765,
195,-0.01499252,
196,-0.03776442,
197,0.05184606,
198,-0.01137364,
199,-0.07230384,
200,-0.11481958,
201,0.05105828,
202,0.00007385,
203,0.11083143,
204,0.00841945,
205,0.06639546,
206,0.03289,
207,0.00940418,
208,-0.01198909,
209,0.00305266,
210,-0.00672079,
211,-0.00691773,
212,-0.01757744,
213,-0.00339732,
214,-0.0095765,
215,-0.01004425,
216,-0.00649922,
217,0.00236335,
218,-0.02232877,
219,-0.00470209,
220,0.00100935,
221,-0.01740511,
222,-0.00644999,
223,0.00982269,
224,0.00009847,
225,-0.00354503,
226,-0.0153618,
227,-0.09876848,
228,-0.06285043,
229,0.08190497,
230,0.10531693,
231,0.01462325,
232,-0.004579,
233,-0.00438205,
234,-0.00644999,
235,-0.01100436,
236,-0.03453942,
237,0.00649922,
238,0.01757744,
239,0.00758243,
240,0.00140324,
241,-0.00413587,
242,-0.00888719,
243,-0.02402743,
244,-0.01518947,
245,0.0181929,
246,0.00950265,
247,-0.00684388,
248,-0.00411125,
249,-0.01006887,
250,0.00113244,
251,-0.01856217,
252,-0.02136865,
253,0.04374666,
254,-0.04059552,
255,0.03247149,
256,0.00051698,
257,0.02772017,
258,-0.03835526,
259,-0.00659769,
260,0.03399782,
261,0.02656311,
262,0.01450016,
263,-0.04894111,
264,-0.06235806,
265,0.02631692,
266,0.01511561,
267,-0.04697165,
268,0.04867031,
269,-0.14231819,
270,0.16373608,
271,-0.01275226,
272,0.06895576,
273,-0.02651387,
274,-0.06986663,
275,0.06504145,
276,-0.01309692,
277,0.06710939,
278,0.02131942,
279,0.00460362,
280,-0.01134902,
281,-0.0040374,
282,0.00866563,
283,-0.00152633,
284,0.0107828,
285,-0.01541103,
286,-0.0008124,
287,-0.00032004,
288,-0.00150171,
289,-0.00029542,
290,0.0020187,
291,-0.01614958,
292,-0.03047741,
293,-0.02390433,
294,0.01418012,
295,-0.13943785,
296,-0.01885759,
297,0.06353974,
298,-0.08461297,
299,0.18655721,
300,-0.05595731,
301,-0.08520381,
302,0.18717266,
303,0.03045279,
304,-0.0475871,
305,0.07584887,
306,0.03751823,
307,-0.02919726,
308,-0.00494827,
309,-0.01282612,
310,0.03394859,
311,-0.01373699,
312,-0.00088626,
313,-0.02565223,
314,0.00679464,
315,-0.01147211,
316,-0.04473139,
317,0.08266813,
318,0.02050701,
319,-0.00846868,
320,-0.00169866,
321,-0.00317576,
322,-0.03013276,
323,-0.0683403,
324,0.10369213,
325,-0.010512,
326,0.01491867,
327,-0.00120629,
328,-0.0093057,
329,0.0498766,
330,-0.00022156,
331,-0.02368277,
332,0.00118168,
333,-0.08215115,
334,0.05910845,
335,0.03350546,
336,0.01265379,
337,-0.02976348,
338,0.03072359,
339,-0.00770552,
340,-0.07186071,
341,0.05320007,
342,0.05265847,
343,0.01999003,
344,0.00334808,
345,-0.0555388,
346,0.03990621,
347,0.03035432,
348,0.01405703,
349,-0.03242225,
350,0.04091556,
351,-0.17446964,
352,0.11565661,
353,0.0621365,
354,0.02146713,
355,0.02976348,
356,0.00790246,
357,0.00672079,
358,0.01154597,
359,-0.00748395,
360,-0.04130945,
361,-0.06169337,
362,0.08943815,
363,0.01472172,
364,-0.00977345,
365,-0.00721315,
366,0.02131942,
367,0.01189062,
368,0.00524369,
369,-0.0238551,
370,-0.00435743,
371,0.00743472,
372,0.00091088,
373,0.00137862,
374,0.01696198,
375,0.02232877,
376,0.01437707,
377,-0.0238551,
378,0.011866,
379,0.01191524,
380,-0.03793675,
381,-0.05802525,
382,-0.01861141,
383,0.05972391,
384,0.04175258,
385,0.0149679,
386,-0.00290496,
387,-0.05115675,
388,0.07154068,
389,-0.00733624,
390,0.02348582,
391,0.01472172,
392,-0.06319508,
393,0.00384045,
394,0.04586383,
395,-0.00728701,
396,-0.00765628,
397,-0.0093057,
398,-0.05512029,
399,0.10502152,
400,-0.04955657,
401,0.00905952,
402,0.04601154,
403,-0.00514522,
404,-0.11708447,
405,-0.00918261,
406,0.09566658,
407,-0.02257495,
408,0.07818761,
409,-0.01326924,
410,0.00952727,
411,0.00398816,
412,0.01459863,
413,-0.05137832,
414,0.01240761,
415,0.02282113,
416,-0.00721315,
417,0.00721315,
418,0.04020163,
419,0.01265379,
420,0.00374198,
421,0.00819788,
422,0.01041353,
423,-0.00856716,
424,0.00933032,
425,-0.00076317,
426,-0.00157557,
427,-0.02998505,
428,-0.07444563,
429,0.03124058,
430,0.02663696,
431,0.01966999,
432,0.02360892,
433,0.03355469,
434,-0.01893145,
435,-0.0814126,
436,0.01740511,
437,0.08700095,
438,-0.07986165,
439,0.08658244,
440,-0.03158523,
441,-0.05652353,
442,0.07981241,
443,-0.00888719,
444,0.03220069,
445,0.01410627,
446,0.00002462,
447,-0.00544064,
448,-0.0053914,
449,-0.00965036,
450,-0.02594765,
451,-0.02198411,
452,-0.02267342,
453,0.04724245,
