製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,04/23 19:40:10,04/23 19:40:10,04/23 19:40:10,
サンプリング周波数,200,200,200,
シーケンス数,8013,8013,8013,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.0400293,0.0179221,0.00224026,
3,-0.10206732,0.01245684,-0.09401715,
4,-0.00662231,-0.04719321,-0.0031019,
5,0.00630228,0.00078778,0.00470209,
6,0.00736086,-0.03998006,-0.06846339,
7,-0.02956654,-0.11752759,-0.038823,
8,-0.01745435,-0.00472671,0.00797632,
9,0.07215613,0.00401278,0.02279651,
10,0.07417483,0.03328389,-0.00448052,
11,-0.06176723,-0.01848832,0.02653849,
12,-0.0536432,-0.03540106,-0.04244189,
13,0.05967467,0.0107828,-0.0200885,
14,-0.0215656,-0.03451481,-0.01627267,
15,0.0039143,0.04450982,0.00595762,
16,-0.03466252,-0.03904457,0.04857184,
17,0.0033727,-0.08421908,0.00773013,
18,-0.0451499,0.10792647,-0.05965005,
19,0.0456915,0.04409131,-0.09505112,
20,0.01523871,0.14884203,-0.0392169,
21,0.00977345,-0.212431,-0.04473139,
22,-0.04423902,-0.00167404,0.00064007,
23,-0.03244687,-0.07949238,-0.0287049,
24,-0.0005416,0.06452447,0.02077782,
25,-0.00398816,-0.02323964,0.01373699,
26,-0.00182175,-0.01558336,-0.00654846,
27,0.01826675,0.05743441,-0.0008124,
28,0.05854223,-0.30566037,0.04118636,
29,0.02294422,-0.05236305,0.01543565,
30,0.03030508,0.04482986,0.02023621,
31,-0.07429792,0.00736086,-0.05753288,
32,-0.01740511,0.01962076,-0.00526831,
33,0.01041353,-0.21164322,-0.00507136,
34,0.1027074,0.04544532,0.05086133,
35,-0.00576067,0.1940904,0.02250109,
36,-0.02922188,-0.02341197,-0.02087629,
37,0.05997009,0.23882178,-0.00711468,
38,-0.06666626,0.08476068,0.03321004,
39,-0.03037894,-0.19775852,0.05942849,
40,-0.02112247,-0.07018667,-0.03510564,
41,0.00502213,-0.0961097,0.00199408,
42,0.05423404,0.04756249,0.01745435,
43,-0.01154597,0.10780338,0.0459623,
44,-0.03111749,-0.14507543,-0.00770552,
45,0.02373201,0.03796136,-0.0473163,
46,0.12040793,-0.03148676,0.0102412,
47,0.01233375,0.00859177,-0.10777876,
48,-0.13399721,-0.21201249,-0.04539608,
49,-0.04300811,0.18921598,0.00548987,
50,0.00128015,0.10196885,-0.02875413,
51,0.03847835,-0.05706514,-0.0159034,
52,0.00992116,0.08609007,0.11009288,
53,0.00059084,0.01061047,-0.07134373,
54,0.05999471,-0.07255002,0.11900469,
