製品名,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,ワイヤレス筋電センサ（乾式）,
計測時ID,1,2,3,
計測開始時刻,04/23 20:08:32,04/23 20:08:32,04/23 20:08:32,
サンプリング周波数,200,200,200,
シーケンス数,6725,6725,6725,
PGAゲイン,x12,x12,x12,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,,,
ファイル保存形式,演算データ,演算データ,演算データ,
シーケンス番号,EMG01[ｍV],EMG01[ｍV],EMG01[ｍV],
1,0,0,0,
2,0.00120629,0.00967498,-0.05029511,
3,-0.05339702,0.00096011,0.04537146,
4,0.01142287,-0.0257507,-0.00940418,
5,0.01001963,0.0068685,-0.00758243,
6,-0.03554877,0.00017233,-0.07026053,
7,0.00913338,-0.05691743,-0.0138847,
8,0.0357211,0.00792708,-0.01302306,
9,0.01578031,-0.03609038,-0.00790246,
10,0.06612466,-0.03628732,-0.0179221,
11,-0.03493332,0.04869493,-0.04785791,
12,-0.05115675,-0.00521907,0.02033469,
13,-0.00408663,-0.00408663,0.10374137,
14,0.01866064,0.04576535,0.01565722,
15,-0.00551449,-0.05832067,-0.02370739,
16,0.03119134,0.0153618,-0.17358338,
17,0.04244189,-0.04076785,0.0527077,
18,-0.04719321,0.00322499,-0.00979807,
19,0.01235837,0.01479558,0.0549972,
20,0.02390433,-0.01767591,-0.04423902,
21,0.01344157,-0.01912839,-0.00612995,
22,-0.0632197,-0.01511561,-0.03303771,
23,-0.04497757,0.03357931,0.00300343,
24,-0.00526831,-0.03823216,-0.00871487,
25,0.01898068,-0.010512,-0.00893643,
26,0.0176513,-0.00982269,-0.04832565,
27,0.02813868,0.00507136,0.03158523,
28,0.01506638,0.01198909,0.06504145,
29,-0.01580493,0.01349081,0.10556312,
30,0.10260893,-0.02964039,-0.14209662,
31,0.01947305,0.00753319,-0.0093057,
32,-0.0351795,-0.00608071,-0.0428604,
33,-0.04871955,-0.04389437,0.0036435,
34,-0.02956654,-0.02946806,-0.02902493,
35,0.04785791,0.03045279,0.02365815,
36,0.0477102,-0.00231412,-0.00322499,
37,-0.04847336,0.00199408,-0.00568682,
38,0.00177252,-0.0039143,0.01174291,
39,-0.01358928,-0.01989156,-0.02543067,
40,0.00329885,0.03109287,-0.01134902,
41,0.01838984,0.03633656,-0.01905454,
42,0.05644968,-0.01863603,0.03414553,
43,0.03697663,-0.0230427,0.06459833,
44,-0.03313618,-0.03293924,-0.05659739,
45,-0.0562035,-0.01129978,0.01285073,
46,0.01196448,-0.01065971,0.02604612,
47,-0.00438205,-0.00937956,-0.00411125,
48,-0.02139327,0.00992116,0.05544033,
49,0.01486943,0.09189998,0.00297881,
50,0.01309692,-0.07661204,0.00096011,
51,-0.00659769,-0.00883796,-0.07919696,
52,0.01642038,-0.02456903,0.08237271,
53,-0.00544064,0.00979807,-0.00216641,
54,-0.00164942,0.01472172,0.00945341,
55,0.00721315,-0.03813369,-0.11218543,
56,-0.02528296,-0.02909879,-0.00064007,
57,0.00851792,-0.04005392,-0.01085665,
58,-0.02762169,-0.00046775,0.01831599,
59,-0.00994578,-0.02730166,-0.05398785,
60,0.04854722,-0.01031505,0.00662231,
61,0.05098443,-0.0082225,0.015091,
62,-0.03554877,-0.01275226,-0.00905952,
63,-0.02907417,0.0351795,0.04170334,
64,0.01472172,-0.00669617,0.02890184,
65,-0.00177252,0.00155095,-0.01339234,
66,0.01799595,-0.01457401,-0.05556342,
67,0.03222531,-0.01223528,-0.02405204,
68,-0.0115952,-0.0067454,0.01036429,
69,-0.00585915,-0.0133431,-0.02604612,
70,-0.01528794,0.02730166,0.03584419,
71,0.0110536,-0.02727704,-0.03658274,
72,0.005933,-0.0541848,-0.02786788,
73,-0.00827174,-0.00238797,0.03542568,
74,0.0079517,-0.00814865,0.00827174,
75,0.00076317,0.02774478,0.01368775,
76,-0.02786788,0.00896105,0.00546525,
77,-0.00145248,-0.00091088,0.03825678,
78,-0.00034466,-0.00339732,-0.01371237,
79,0.0541848,-0.03377626,0.05642506,
80,-0.0153618,0.06144719,0.05841914,
81,0.02097476,0.00598224,0.02269804,
82,-0.00974883,0.01506638,-0.02813868,
83,-0.00497289,0.00251106,-0.0366566,
84,0.00568682,-0.03601652,0.03254535,
85,-0.02429823,0.02959115,0.00519445,
86,-0.00829636,-0.00420972,0.00371736,
87,0.01794671,-0.03099439,0.00657308,
88,0.00477594,-0.00694235,-0.03500717,
89,0.02607074,0.00068931,0.04660237,
90,0.07058056,-0.00103397,-0.08404675,
91,0.02730166,0.03953693,0.02269804,
92,-0.02060549,-0.05905922,-0.02107323,
93,0.01048738,-0.01011811,0.03084669,
94,-0.00841945,0.01651886,-0.08303741,
95,0.01275226,0.05915769,0.05068901,
96,-0.03751823,-0.01730664,-0.04118636,
97,0.02964039,-0.01373699,-0.00595762,
98,0.11774916,-0.00905952,0.02255033,
99,-0.00814865,-0.00617918,0.00809941,
100,-0.02023621,-0.01619882,-0.07255002,
101,-0.08594236,-0.0257507,0.10211656,
102,-0.04047243,0.03453942,0.01659271,
103,0.00999502,0.02796635,-0.03980773,
104,0.0093057,0.02735089,-0.00571144,
105,0.02415052,-0.09180151,-0.02515987,
106,-0.0161742,-0.00334808,-0.01142287,
107,-0.00408663,0.01706046,0.00078778,
108,0.01420474,-0.05580961,-0.00064007,
109,0.03222531,-0.03788751,0.03702587,
110,0.02309193,-0.00625304,0.02021159,
111,0.02309193,-0.00187099,-0.01841446,
112,-0.03924151,0.00571144,-0.03788751,
113,0.00859177,0.00046775,-0.10913277,
114,0.03609038,-0.00718853,0.1094528,
115,-0.02932035,-0.00167404,0.05438175,
116,-0.02082705,-0.00113244,-0.07252541,
117,0.0371982,-0.00524369,0.02193487,
118,0.07621815,0.02735089,0.07316548,
119,0.01122593,0.00760704,-0.02823715,
120,-0.03419477,-0.01779901,-0.03461328,
121,-0.10027019,0.00140324,-0.05802525,
122,-0.05812372,-0.00829636,-0.01019196,
123,0.00029542,0.01297383,0.03466252,
124,0.00083702,-0.07936928,-0.00224026,
125,0.04226956,0.09802993,0.04229418,
126,-0.00977345,-0.0799355,-0.00797632,
127,0.00871487,-0.00588377,0.00142786,
128,-0.00871487,-0.04539608,-0.00797632,
129,-0.01738049,-0.07700593,-0.01836523,
130,0.01829137,-0.01787286,-0.01799595,
131,0.06149642,-0.00681926,0.08512996,
132,0.04778405,-0.01479558,-0.01939919,
133,0.02242724,0.0074101,-0.11445031,
134,-0.06346589,-0.00878872,-0.07070366,
135,-0.0518953,0.00155095,0.08658244,
136,0.00859177,0.01518947,-0.02195949,
137,0.0346379,-0.01093051,-0.00864101,
138,0.00398816,0.01398317,-0.00100935,
139,-0.01688813,-0.03271767,-0.01602649,
140,-0.04625772,0.00883796,-0.00278186,
141,0.0343671,-0.01189062,-0.01122593,
142,0.03111749,-0.03394859,0.00974883,
143,-0.01669118,0.05322469,-0.01166906,
144,-0.04396822,0.08028016,0.0090349,
145,-0.0176513,-0.08700095,-0.0025603,
146,-0.00164942,-0.02087629,0.06317047,
147,0.01863603,-0.00733624,0.03338237,
148,0.02565223,-0.00128015,0.07085136,
149,0.03106825,-0.04010315,0.00125553,
150,0.05718823,0.05374167,-0.0606594,
151,0.00472671,-0.01422936,-0.02626769,
152,0.0082225,0.00450514,0.02525834,
153,-0.03478561,0.0331608,0.03217607,
154,-0.05430789,0.01861141,-0.04391898,
155,0.03355469,-0.09832535,0.04059552,
156,0.01915301,-0.01014272,0.01863603,
157,-0.05568651,-0.04128483,-0.01989156,
158,-0.04510066,0.10420911,0.01400779,
159,0.01762668,-0.05098443,0.0002708,
160,0.05977315,0.04039857,0.00829636,
161,0.0502705,-0.02491368,-0.00243721,
162,-0.02459365,0.04244189,0.01398317,
163,-0.00462823,0.00130477,-0.00056622,
164,0.02737551,-0.00891181,0.02072858,
165,-0.0215656,-0.02087629,-0.00662231,
166,-0.01277688,-0.06149642,-0.0115952,
167,-0.01282612,0.04502681,-0.01585416,
168,0.00142786,0.03269306,-0.0243967,
169,0.11696137,0.02567685,0.02464288,
170,-0.00278186,-0.00465285,0.0235843,
171,-0.06353974,-0.04537146,0.02998505,
172,-0.06255501,-0.02515987,-0.06624775,
173,-0.00354503,-0.01516485,-0.004579,
174,0.05137832,0.0249383,-0.00236335,
175,0.01693737,0.10957589,-0.00219103,
176,-0.04675008,-0.09372173,0.00580991,
177,0.0172574,-0.02124556,-0.01085665,
178,0.01147211,-0.01639576,0.03953693,
179,0.03050203,0.01432783,-0.0172574,
180,0.01331848,0.00630228,-0.01942381,
181,0.04768558,-0.02762169,-0.0067454,
182,-0.02644002,-0.03244687,-0.04217109,
183,0.00758243,0.00059084,0.00115706,
184,0.01688813,-0.01019196,-0.00132939,
185,0.03116672,-0.00253568,0.05223996,
186,0.04734092,0.00915799,-0.10086103,
187,-0.10393831,-0.01666656,-0.01755282,
188,-0.08584389,0.03084669,0.00657308,
189,-0.0067454,0.03756747,0.02693238,
190,0.02725242,-0.07739982,-0.05401247,
191,0.02483983,0.00068931,-0.01866064,
192,0.00706544,-0.00342194,-0.02402743,
193,0.01176753,0.02045778,0.01349081,
194,-0.02900032,0.01516485,-0.00662231,
195,0.04162948,-0.04618386,-0.02651387,
196,0.0970452,-0.03796136,-0.01129978,
197,0.02001465,0.0578283,0.05295389,
198,-0.06041322,-0.03375164,-0.11326863,
199,-0.05420942,0.01061047,0.00339732,
200,-0.03222531,-0.03515488,-0.00908414,
201,-0.04140792,-0.01738049,-0.01856217,
202,0.04601154,0.02922188,0.01383546,
203,-0.00905952,-0.01794671,-0.00438205,
204,0.0002708,0.00524369,0.02122094,
205,0.05475102,-0.00162481,0.06127486,
206,0.00093549,-0.01627267,0.02934497,
207,-0.0456915,0.03306233,-0.07075289,
208,0.0349087,-0.01585416,-0.01260455,
209,0.03769056,0.09500188,0.00694235,
210,-0.0102412,-0.1012303,-0.03968464,
211,-0.00177252,0.01198909,-0.01102898,
212,0.0533724,-0.12129419,0.00056622,
213,-0.0287049,0.08040325,-0.00928109,
214,-0.03931537,-0.09751294,0.005933,
215,0.021024,0.08057558,0.01038891,
216,0.01245684,-0.07813837,0.02577532,
217,0.0351795,0.07380556,-0.01826675,
218,0.00888719,0.02336273,-0.01484481,
219,0.00132939,-0.0448791,-0.00502213,
220,0.00189561,-0.03158523,-0.01851293,
221,-0.00982269,0.02875413,-0.01299844,
222,-0.01866064,-0.09935931,-0.00718853,
223,-0.00608071,0.07370708,0.0064746,
224,-0.00832097,-0.04199876,-0.00029542,
225,0.03340698,0.07067904,0.01408165,
226,0.01176753,0.11208696,0.02629231,
227,-0.05691743,0.00977345,-0.03389935,
228,-0.0513537,-0.04401746,0.00105859,
229,-0.0138847,-0.0444852,-0.02410128,
230,-0.02242724,0.0048498,0.01031505,
231,0.05844376,-0.01356466,-0.02717856,
232,-0.0025603,0.08956125,-0.01061047,
233,-0.03222531,-0.00736086,-0.02882799,
234,-0.00376659,0.02796635,-0.02653849,
235,0.05580961,0.02442132,0.0200885,
236,-0.02973886,0.0555388,-0.0149679,
237,-0.04428826,-0.11272703,-0.01260455,
238,-0.03197913,-0.06021627,-0.01201371,
239,0.00019695,0.01454939,-0.00568682,
240,0.01605111,0.04867031,0.00046775,
241,0.02082705,-0.01233375,-0.02230415,
242,-0.01386008,-0.01472172,-0.0095765,
243,-0.02848333,0.03825678,0.01277688,
244,0.0235843,-0.0207532,-0.00644999,
245,-0.02838486,-0.01287535,-0.02274728,
246,0.04450982,0.16499161,-0.01324463,
247,0.04692241,-0.09931008,0.0040374,
248,-0.00450514,-0.00802555,-0.00967498,
249,-0.00817326,0.00315114,0.00438205,
250,-0.01319539,0.01986694,0.00477594,
251,0.00226488,0.02799097,0.00952727,
252,0.00753319,-0.02134404,-0.01868526,
253,-0.00130477,0.00827174,0.00571144,
254,-0.06718324,0.07867997,0.01381085,
255,0.00878872,-0.05807449,-0.04372204,
256,-0.00571144,0.02013774,-0.00428358,
257,0.01799595,-0.01171829,-0.01962076,
258,0.0010832,0.06184108,-0.00743472,
259,-0.00888719,0.05770521,-0.0017479,
260,0.04175258,-0.09500188,0.00644999,
261,-0.02390433,-0.00032004,-0.01484481,
262,0.00408663,-0.04094017,-0.00315114,
263,-0.00152633,-0.06713401,-0.00300343,
264,0.00834559,-0.02360892,-0.00785323,
265,-0.0025603,0.02023621,0.00600686,
266,0.03375164,-0.02250109,-0.00273263,
267,-0.0167158,-0.01491867,-0.00785323,
268,-0.02808944,0.03589343,-0.00649922,
269,-0.02663696,-0.02624307,-0.01770053,
270,0.00448052,0.04064475,0.01001963,
271,-0.00839483,-0.0518953,-0.01629729,
272,0.0121368,0.04921191,-0.00371736,
273,-0.00979807,0.00068931,0.00625304,
274,-0.00595762,-0.04020163,-0.01888221,
275,-0.04556841,-0.02678467,0.02021159,
276,0.02767093,-0.01619882,-0.01826675,
277,-0.00883796,-0.04384513,0.00179713,
278,0.00300343,0.00300343,-0.00571144,
279,-0.00009847,-0.02885261,-0.01275226,
280,-0.02464288,0.04953195,-0.01090589,
281,0.00329885,-0.01794671,0.00937956,
282,0.02442132,0.06440138,0.00883796,
283,-0.01061047,0.03623809,-0.00128015,
284,0.00657308,-0.12190964,-0.01435245,
285,-0.01866064,-0.02959115,-0.03554877,
286,0.01558336,0.00551449,-0.00681926,
287,0.01984232,0.07432254,0.01376161,
288,0.03419477,-0.00630228,-0.01381085,
289,-0.0102412,0.02483983,-0.00103397,
290,-0.01454939,-0.05839452,-0.01838984,
291,-0.02877875,-0.00187099,0.00585915,
292,0.02565223,-0.06809412,0.00041851,
293,0.03961079,-0.00231412,0.01996541,
294,-0.00657308,-0.00489903,-0.01814366,
295,0.02163945,-0.02023621,-0.0010832,
296,0.04310658,-0.02250109,-0.00078778,
297,0.00622842,0.02109785,-0.01893145,
298,0.00292957,-0.15273171,0.00120629,
299,-0.00408663,0.0899059,-0.01959614,
300,0.00896105,0.04551917,-0.01484481,
301,0.02567685,-0.00773013,0.01331848,
302,0.00846868,-0.04729169,0.00280648,
303,0.02432285,-0.0076809,0.01570645,
304,0.01001963,-0.04655314,-0.01093051,
305,-0.05029511,-0.04657776,0.00758243,
306,-0.03111749,-0.08064943,0.00854254,
307,0.02060549,-0.00386507,0.03301309,
308,0.02171331,0.03192989,-0.01257993,
309,0.022378,-0.08352977,-0.0207532,
310,-0.01437707,0.09532192,-0.02919726,
311,-0.01947305,-0.0531016,0.00905952,
312,-0.01262917,0.07872921,-0.00416049,
313,0.04268807,-0.01543565,-0.03023123,
314,-0.00342194,0.01728202,0.00654846,
315,-0.00933032,-0.06624775,-0.031536,
316,0.00558835,-0.00605609,0.04194952,
317,0.00551449,-0.05211687,-0.02171331,
318,0.00204332,0.00470209,-0.0102412,
319,-0.00681926,-0.05049206,-0.01457401,
320,0.01627267,0.02402743,-0.00359427,
321,-0.03990621,-0.0556619,-0.01016734,
322,-0.00534216,0.00039389,-0.0053914,
323,-0.03943846,-0.06811874,-0.00524369,
324,0.00305266,-0.05544033,-0.01543565,
325,-0.00733624,-0.0487934,0.00187099,
