製品名,ワイヤレス筋電センサ（乾式）,
計測時ID,1,
計測開始時刻,10/04 12:50:56,
サンプリング周波数,200,
シーケンス数,5644,
PGAゲイン,x8,
補正値キー,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,
コメント,,
ファイル保存形式,演算データ,
シーケンス番号,EMG01[ｍV],
1,0,
2,0.00051698,
3,-0.01281381,
4,-0.06070864,
5,0.04276193,
6,0.01281381,
7,0.03245918,
8,0.02765862,
9,-0.01251839,
10,-0.04335276,
11,-0.02352275,
12,0.01115207,
13,-0.04678701,
14,0.00192022,
15,-0.02522141,
16,-0.03596728,
17,0.10454146,
18,-0.00878872,
19,-0.01646962,
20,0.00594531,
21,0.01761437,
22,0.00657308,
23,-0.00048006,
24,0.03172063,
25,-0.00642537,
26,-0.05838221,
27,0.03330851,
28,0.00291726,
29,0.04682394,
30,-0.02946806,
31,0.03098209,
32,0.00162481,
33,-0.01285073,
34,0.01137364,
35,0.01835292,
36,0.01410627,
37,-0.01240761,
38,-0.04420209,
39,0.01613727,
40,-0.0812772,
41,0.05494797,
42,0.03297617,
43,0.01946074,
44,-0.00284341,
45,-0.01067202,
46,0.02721549,
47,0.05033204,
48,-0.0180575,
49,0.03401013,
50,0.01573107,
51,-0.00790246,
52,-0.00823481,
53,0.03641041,
54,-0.03844142,
55,-0.00273263,
56,0.03160985,
57,0.01115207,
58,-0.16502853,
59,0.12200812,
60,0.004579,
61,0.01358928,
62,-0.00033235,
63,-0.07795373,
64,0.0377398,
65,0.03090823,
66,-0.02392895,
67,0.00398816,
68,0.01030274,
69,0.01214911,
70,-0.03681661,
71,-0.01979308,
72,0.06307199,
73,-0.01934996,
74,-0.03751823,
75,0.0258861,
76,-0.01259224,
77,-0.04386975,
78,0.04549455,
79,0.00265877,
80,0.00217872,
81,-0.01676504,
82,-0.01610034,
83,0.04361126,
84,-0.00502213,
85,-0.01377392,
86,-0.06975585,
87,0.02799097,
88,-0.02618152,
89,-0.0093057,
90,0.00003693,
91,0.00025849,
92,-0.06358898,
93,0.05166143,
94,0.01702353,
95,-0.02330119,
96,0.03873684,
97,-0.09770989,
98,0.09519883,
99,-0.03208991,
100,0.03670583,
101,-0.01207526,
102,0.00247414,
103,-0.01898068,
104,-0.01392163,
105,0.05417249,
106,0.01768822,
107,-0.02832331,
108,-0.09985168,
109,0.02392895,
110,-0.04859645,
111,0.12448225,
112,-0.08116642,
113,-0.01133671,
114,-0.04106326,
115,0.01584185,
116,0.0026957,
117,0.00661,
118,-0.03020661,
